Source,Target,Type,Id,Label,timeset,Weight,communication
Alvarez,Jinx,Undirected,298,,,1,verbal
Chang,Chang's agent girl,Undirected,299,,,1,verbal
Chang,James Bond,Undirected,300,,,5,verbal
Chang,receptionist,Undirected,301,,,2,verbal
Chang's agent girl,James Bond,Undirected,302,,,2,verbal
Creep,Fidel,Undirected,303,,,1,verbal
Creep,James Bond,Undirected,304,,,1,verbal
Creep's girl,James Bond,Undirected,305,,,1,verbal
Falco,James Bond,Undirected,306,,,2,verbal
Falco,Jinx,Undirected,307,,,3,verbal
Falco,M,Undirected,308,,,7,verbal
Falco,Robinson,Undirected,309,,,3,verbal
Graves (Moon),Graves (Moon)'s soldiers,Undirected,310,,,3,verbal
Graves (Moon),James Bond,Undirected,311,,,14,verbal
Graves (Moon),Miranda,Undirected,312,,,8,verbal
Graves (Moon),Verity,Undirected,313,,,2,verbal
Graves (Moon),Vlad,Undirected,314,,,8,verbal
Graves (Moon),Zao,Undirected,315,,,7,verbal
Graves (Moon),general Moon,Undirected,316,,,3,verbal
Graves (Moon),generals,Undirected,317,,,3,verbal
Graves (Moon),korean soldier,Undirected,318,,,1,verbal
Graves (Moon),reporters,Undirected,319,,,1,verbal
Graves (Moon)' guards,Zao,Undirected,320,,,2,verbal
Graves (Moon)' guard,James Bond,Undirected,321,,,1,verbal
Graves (Moon)'s soldiers,Zao,Undirected,322,,,3,verbal
Graves (Moon)'s soldiers,general Moon,Undirected,323,,,3,verbal
reporters,reporter,Undirected,427,,,1,nonverbal
James Bond,Jinx,Undirected,325,,,15,verbal
James Bond,Kil,Undirected,326,,,3,verbal
James Bond,M,Undirected,327,,,3,verbal
James Bond,Miranda,Undirected,328,,,11,verbal
James Bond,Q,Undirected,329,,,1,verbal
James Bond,Raoul,Undirected,330,,,4,verbal
James Bond,Robinson,Undirected,331,,,3,verbal
James Bond,Van Bierk,Undirected,332,,,1,verbal
James Bond,Verity,Undirected,333,,,2,verbal
James Bond,Zao,Undirected,334,,,10,verbal
James Bond,air hostess,Undirected,335,,,1,verbal
James Bond,barman,Undirected,336,,,1,verbal
James Bond,club worker,Undirected,337,,,1,verbal
James Bond,general Moon,Undirected,338,,,4,verbal
James Bond,guard,Undirected,339,,,1,verbal
James Bond,receptionist,Undirected,340,,,1,verbal
James Bond,salesman,Undirected,341,,,2,verbal
Jinx,M,Undirected,342,,,1,verbal
Jinx,Miranda,Undirected,343,,,5,verbal
Jinx,Robinson,Undirected,344,,,3,verbal
Jinx,Zao,Undirected,345,,,4,verbal
Jinx,guards,Undirected,346,,,1,verbal
Kil,Zao,Undirected,347,,,2,verbal
Miranda,Verity,Undirected,348,,,1,verbal
Miranda,Vlad,Undirected,349,,,2,verbal
Miranda,Zao,Undirected,350,,,2,verbal
Miranda,generals,Undirected,351,,,1,verbal
Miranda,reporter,Undirected,352,,,1,verbal
Miranda,reporters,Undirected,353,,,1,verbal
Moneypenny,Q,Undirected,354,,,1,verbal
Moneypenny,Robinson,Undirected,355,,,1,verbal
M,Miranda,Undirected,356,,,1,verbal
M,Robinson,Undirected,357,,,4,verbal
Raoul,salesman,Undirected,358,,,3,verbal
Vlad,Zao,Undirected,359,,,1,verbal
Vlad,generals,Undirected,360,,,1,verbal
Zao,general Moon,Undirected,361,,,1,verbal
