Source,Target,Type,Id,Label,timeset,Weight,communication
James Bond,man from MI-6,Undirected,112,,,1,context
Mary Prescott,Professor Dent,Undirected,113,,,1,context
Mary Prescott,Strangways,Undirected,114,,,1,context
Potter,Quarrel,Undirected,115,,,1,context
Quarrel,Strangways,Undirected,116,,,1,context
Dr. No's guard,Honey,Undirected,95,,,1,nonverbal
Dr. No's waiter,Honey,Undirected,96,,,1,nonverbal
Dr. No's waiter,James Bond,Undirected,97,,,1,nonverbal
Dr. No,Dr. No's waiter,Undirected,98,,,1,nonverbal
Dr. No,Honey,Undirected,99,,,2,verbal
Dr. No,James Bond,Undirected,100,,,6,verbal
Honey,James Bond,Undirected,101,,,22,verbal
James Bond,Pus-Feller,Undirected,102,,,4,verbal
James Bond,chinese negro,Undirected,103,,,1,nonverbal
James Bond,guard,Undirected,104,,,2,verbal
Mary Prescott,first beggar,Undirected,105,,,1,nonverbal
Mary Prescott,second beggar,Undirected,106,,,1,nonverbal
Mary Prescott,third beggar,Undirected,107,,,1,nonverbal
Quarrel,operative 1,Undirected,108,,,1,nonverbal
first beggar,second beggar,Undirected,109,,,5,verbal
first beggar,third beggar,Undirected,110,,,4,verbal
second beggar,third beggar,Undirected,111,,,4,verbal
1st operator,Mary Prescott,Undirected,0,,,1,verbal
1st operator,foreman of signals,Undirected,1,,,1,verbal
1st operator,foreman's assiatant,Undirected,2,,,1,verbal
Boothroyd,James Bond,Undirected,3,,,1,verbal
Boothroyd,M,Undirected,4,,,1,verbal
Chang,Dr. No,Undirected,5,,,2,verbal
Dr. No's guard,James Bond,Undirected,6,,,1,verbal
Dr. No,Dr. No's guard,Undirected,7,,,1,verbal
Dr. No,Professor Dent,Undirected,10,,,1,verbal
Dr. No,another man,Undirected,11,,,1,verbal
Dr. No,first guard,Undirected,12,,,1,verbal
Dr. No,someone 1,Undirected,13,,,2,verbal
Dr. No,someone 2,Undirected,14,,,2,verbal
Dr. No,someone 3,Undirected,15,,,2,verbal
Duff,James Bond,Undirected,16,,,4,verbal
Duff,Pleydell-Smith,Undirected,17,,,1,verbal
Duff,miss Taro,Undirected,18,,,1,verbal
Felix Leiter,James Bond,Undirected,19,,,10,verbal
Felix Leiter,Pus-Feller,Undirected,20,,,2,verbal
Felix Leiter,Quarrel,Undirected,21,,,8,verbal
Felix Leiter,fotographer,Undirected,22,,,2,verbal
Honey,Quarrel,Undirected,24,,,7,verbal
Honey,first man,Undirected,25,,,1,verbal
Honey,main operative,Undirected,26,,,1,verbal
Honey,operative 1,Undirected,27,,,1,verbal
Honey,operative 2,Undirected,28,,,1,verbal
Honey,operative 3,Undirected,29,,,1,verbal
Honey,operative 4,Undirected,30,,,1,verbal
Honey,sister Lily,Undirected,31,,,4,verbal
Honey,sister Rose,Undirected,32,,,1,verbal
James Bond,M,Undirected,33,,,3,verbal
James Bond,Pleydell-Smith,Undirected,34,,,6,verbal
James Bond,Potter,Undirected,35,,,1,verbal
James Bond,Professor Dent,Undirected,36,,,3,verbal
James Bond,Quarrel,Undirected,38,,,19,verbal
James Bond,Sylvia,Undirected,39,,,3,verbal
James Bond,chauffeur,Undirected,40,,,2,verbal
James Bond,croupier,Undirected,41,,,1,verbal
James Bond,first man,Undirected,42,,,1,verbal
James Bond,fotographer,Undirected,43,,,2,verbal
James Bond,main operative,Undirected,45,,,1,verbal
James Bond,miss Moneypenny,Undirected,46,,,3,verbal
James Bond,miss Taro,Undirected,47,,,7,verbal
James Bond,operative 1,Undirected,48,,,1,verbal
James Bond,operative 2,Undirected,49,,,1,verbal
James Bond,operative 3,Undirected,50,,,1,verbal
