Source,Target,Type,Id,Label,timeset,Weight,communication
Feyador,warden,Undirected,617,,,1,context
Kara,Koskov,Undirected,618,,,5,verbal
Kara,Necros,Undirected,619,,,1,context
Kara,Whitaker,Undirected,620,,,1,context
Kara,soldier,Undirected,621,,,1,context
Koskov,Pushkin,Undirected,622,,,2,verbal
M,Q,Undirected,623,,,1,context
M,agent 1,Undirected,624,,,1,context
M,agent 2,Undirected,625,,,1,context
M,agent 3,Undirected,626,,,1,context
M,agent 4,Undirected,627,,,1,context
M,agent 5,Undirected,628,,,1,context
M,guard 1,Undirected,629,,,1,context
M,guard 2,Undirected,630,,,1,context
Shah,Snow Leopard,Undirected,631,,,1,context
Feyador,Shah,Undirected,632,,,1,nonverbal
James Bond,Kara,Undirected,633,,,31,verbal
James Bond,Necros,Undirected,634,,,3,verbal
James Bond,Pushkin's man,Undirected,635,,,1,nonverbal
James Bond,Rubavitch,Undirected,636,,,3,verbal
James Bond,afghans,Undirected,637,,,1,nonverbal
James Bond,arab police,Undirected,638,,,1,nonverbal
James Bond,dancer,Undirected,639,,,1,nonverbal
James Bond,killer,Undirected,640,,,1,nonverbal
James Bond,militia,Undirected,641,,,1,nonverbal
James Bond,millitary men,Undirected,642,,,1,nonverbal
KGB agents,Koskov,Undirected,643,,,1,nonverbal
KGB agents,Necros,Undirected,644,,,1,nonverbal
Kara,Pushkin,Undirected,645,,,1,nonverbal
Kara,Pushkin's men,Undirected,646,,,1,nonverbal
Kara,afghans,Undirected,647,,,1,nonverbal
Kara,militia,Undirected,648,,,1,nonverbal
Kara,millitary men,Undirected,649,,,1,nonverbal
Koskov,Necros,Undirected,650,,,8,verbal
Koskov,Saunders,Undirected,651,,,2,verbal
Koskov,Snow Leopard,Undirected,652,,,1,nonverbal
Koskov,girl 1,Undirected,653,,,1,nonverbal
Koskov,girl 2,Undirected,654,,,1,nonverbal
Koskov,pilot 1,Undirected,655,,,1,nonverbal
Koskov,pilot 2,Undirected,656,,,1,nonverbal
Necros,Snow Leopard,Undirected,657,,,1,nonverbal
Necros,agent 4,Undirected,658,,,1,nonverbal
Pushkin's man,Rubavitch,Undirected,659,,,1,nonverbal
