Source,Target,Type,Id,Label,timeset,Weight,communication
Cavendish,Corinne,Undirected,686,,,1,verbal
Cavendish,Drax,Undirected,687,,,1,verbal
Cavendish,James Bond,Undirected,688,,,1,verbal
Chang,Drax,Undirected,689,,,3,verbal
Chang,Holly,Undirected,690,,,1,verbal
Chang,instructor,Undirected,691,,,1,verbal
Corinne,Drax,Undirected,692,,,2,verbal
Corinne,James Bond,Undirected,693,,,6,verbal
Delatie,Delimateo,Undirected,694,,,2,verbal
Delatie,Drax,Undirected,695,,,1,verbal
Delatie,James Bond,Undirected,696,,,2,verbal
Delimateo,Drax,Undirected,697,,,1,verbal
Delimateo,James Bond,Undirected,698,,,2,verbal
Drax,Gray,Undirected,699,,,1,verbal
Drax,Holly,Undirected,700,,,4,verbal
Drax,James Bond,Undirected,701,,,14,verbal
Drax,Laws,Undirected,702,,,3,verbal
Drax,Lybinski,Undirected,703,,,1,verbal
Drax,M,Undirected,704,,,1,verbal
Drax,Victoria,Undirected,705,,,1,verbal
Drax,operator,Undirected,706,,,4,verbal
Franco,James Bond,Undirected,707,,,2,verbal
Gogol,Scott,Undirected,708,,,1,verbal
Gray,James Bond,Undirected,709,,,4,verbal
Gray,M,Undirected,710,,,5,verbal
Gray,Q,Undirected,711,,,2,verbal
Gray,american diplomats,Undirected,712,,,1,verbal
Holly,James Bond,Undirected,713,,,16,verbal
Holly,Scott,Undirected,714,,,1,verbal
James Bond,Laws,Undirected,715,,,7,verbal
James Bond,Lybinski,Undirected,716,,,2,verbal
James Bond,M,Undirected,717,,,7,verbal
James Bond,Manuela,Undirected,718,,,2,verbal
James Bond,Moneypenny,Undirected,719,,,2,verbal
James Bond,Q,Undirected,720,,,5,verbal
James Bond,Scott,Undirected,721,,,1,verbal
James Bond,Victoria,Undirected,722,,,2,verbal
James Bond,blondie woman,Undirected,723,,,1,verbal
James Bond,hostess,Undirected,724,,,2,verbal
James Bond,pilot with moustache,Undirected,725,,,1,verbal
James Bond,valet,Undirected,726,,,1,verbal
Laws,Laws's girlfriend,Undirected,727,,,2,verbal
Lybinski,Victoria,Undirected,728,,,2,verbal
M,Moneypenny,Undirected,729,,,1,verbal
M,Q,Undirected,730,,,3,verbal
M,american diplomats,Undirected,731,,,1,verbal
M,minister,Undirected,732,,,1,verbal
Q,Q's assistant,Undirected,733,,,1,verbal
Q,american diplomats,Undirected,734,,,1,verbal
Scott,american astranaout 2,Undirected,735,,,1,verbal
hostess,pilot with moustache,Undirected,736,,,2,verbal
pilot 1,pilot 2,Undirected,737,,,1,verbal
scientist 1,scientist 2,Undirected,738,,,2,verbal
4 women,Delatie,Undirected,648,,,1,nonverbal
4 women,Delimateo,Undirected,649,,,1,nonverbal
4 women,James Bond,Undirected,650,,,1,nonverbal
4 women,Lybinski,Undirected,651,,,1,nonverbal
4 women,Victoria,Undirected,652,,,1,nonverbal
Chang,James Bond,Undirected,654,,,3,nonverbal
Delatie,Lybinski,Undirected,657,,,1,nonverbal
Delatie,Victoria,Undirected,658,,,1,nonverbal
Delimateo,Lybinski,Undirected,660,,,1,nonverbal
Delimateo,Victoria,Undirected,661,,,1,nonverbal
Drax'crew,Laws,Undirected,662,,,1,nonverbal
Drax'crew,american soldiers,Undirected,663,,,1,nonverbal
Drax,hunter,Undirected,665,,,1,nonverbal
Franco,killers 1,Undirected,667,,,1,nonverbal
Holly,Laws,Undirected,669,,,2,nonverbal
Holly,false doctor,Undirected,670,,,1,nonverbal
James Bond,false doctor,Undirected,674,,,1,nonverbal
James Bond,hunter,Undirected,675,,,1,nonverbal
James Bond,killers 1,Undirected,676,,,1,nonverbal
James Bond,killers 2,Undirected,677,,,1,nonverbal
James Bond,scientist 1,Undirected,678,,,1,nonverbal
James Bond,scientist 2,Undirected,679,,,1,nonverbal
Laws,Manuela,Undirected,681,,,1,nonverbal
Laws,killers 2,Undirected,682,,,1,nonverbal
man 1,man 2,Undirected,684,,,2,nonverbal
4 women,Drax,Undirected,640,,,1,context
Drax,false doctor,Undirected,641,,,1,context
Drax,man 1,Undirected,642,,,1,context
Drax,man 2,Undirected,643,,,1,context
Laws,hostess,Undirected,644,,,1,context
Laws,pilot with moustache,Undirected,645,,,1,context
Q,Moneypenny,Undirected,740,,,1,context
