Source,Target,Type,Id,Label,timeset,Weight,communication
Blofeld,Blofeld's guards,Undirected,958,,,5,verbal
Blofeld,Grunther,Undirected,959,,,7,verbal
Blofeld,Irma,Undirected,960,,,5,verbal
Blofeld,James Bond,Undirected,961,,,6,verbal
Blofeld,James Bond's assistant,Undirected,962,,,1,verbal
Blofeld,Nancy,Undirected,963,,,2,verbal
Blofeld,Ruby,Undirected,964,,,2,verbal
Blofeld,Tracy,Undirected,965,,,5,verbal
Blofeld,the american girl,Undirected,966,,,2,verbal
Blofeld,the australian girl,Undirected,967,,,2,verbal
Blofeld,the chinese girl,Undirected,968,,,2,verbal
Blofeld,the english girl,Undirected,969,,,2,verbal
Blofeld,the german girl,Undirected,970,,,2,verbal
Blofeld,the indian girl,Undirected,971,,,2,verbal
Blofeld,the irish girl,Undirected,972,,,2,verbal
Blofeld,the israeli girl,Undirected,973,,,2,verbal
Blofeld,the jamaican girl,Undirected,974,,,2,verbal
Blofeld,the scandinavian girl,Undirected,975,,,2,verbal
Blofeld's guards,Irma,Undirected,976,,,4,verbal
Blofeld's guard,James Bond,Undirected,977,,,2,verbal
Bray,Bray's assistant,Undirected,978,,,1,verbal
Bray,James Bond,Undirected,979,,,2,verbal
Bray's assistant,James Bond,Undirected,980,,,1,verbal
Che Che,James Bond,Undirected,981,,,4,verbal
Draco,Draco's men,Undirected,982,,,2,verbal
Draco,James Bond,Undirected,983,,,15,verbal
Draco,M,Undirected,984,,,1,verbal
Draco,Olympe,Undirected,985,,,6,verbal
Draco,Tracy,Undirected,986,,,11,verbal
Draco,dispatcher 1,Undirected,987,,,1,verbal
Draco,dispatcher 2,Undirected,988,,,1,verbal
Draco,man 3,Undirected,989,,,3,verbal
Draco's men,James Bond,Undirected,990,,,2,verbal
Grunther,Irma,Undirected,991,,,3,verbal
Grunther,James Bond,Undirected,992,,,7,verbal
Grunther,James Bond's assistant,Undirected,993,,,2,verbal
Gumbold,clerk,Undirected,994,,,1,verbal
Hammond,James Bond,Undirected,995,,,1,verbal
Hammond,M,Undirected,996,,,1,verbal
Irma,James Bond,Undirected,997,,,13,verbal
Irma,Nancy,Undirected,998,,,8,verbal
Irma,Ruby,Undirected,999,,,8,verbal
Irma,receptionist,Undirected,1000,,,2,verbal
Irma,the american girl,Undirected,1001,,,8,verbal
Irma,the australian girl,Undirected,1002,,,8,verbal
Irma,the chinese girl,Undirected,1003,,,8,verbal
Irma,the english girl,Undirected,1004,,,8,verbal
Irma,the german girl,Undirected,1005,,,8,verbal
Irma,the indian girl,Undirected,1006,,,8,verbal
Irma,the irish girl,Undirected,1007,,,8,verbal
Irma,the israeli girl,Undirected,1008,,,8,verbal
Irma,the jamaican girl,Undirected,1009,,,8,verbal
Irma,the scandinavian girl,Undirected,1010,,,8,verbal
James Bond,M,Undirected,1011,,,4,verbal
James Bond,Moneypenny,Undirected,1012,,,5,verbal
James Bond,Nancy,Undirected,1013,,,7,verbal
James Bond,Olympe,Undirected,1014,,,2,verbal
James Bond,Q,Undirected,1015,,,1,verbal
James Bond,Raphael,Undirected,1016,,,2,verbal
James Bond,Ruby,Undirected,1017,,,8,verbal
James Bond,Tracy,Undirected,1018,,,21,verbal
James Bond,barman,Undirected,1019,,,1,verbal
James Bond,card player 1,Undirected,1020,,,1,verbal
James Bond,card player 2,Undirected,1021,,,1,verbal
James Bond,dealer,Undirected,1022,,,1,verbal
James Bond,hotel clerk,Undirected,1023,,,1,verbal
James Bond,man 3,Undirected,1024,,,5,verbal
James Bond,policeman,Undirected,1025,,,1,verbal
James Bond,porter,Undirected,1026,,,1,verbal
James Bond,receptionist,Undirected,1027,,,1,verbal
James Bond,the american girl,Undirected,1028,,,5,verbal
James Bond,the australian girl,Undirected,1029,,,5,verbal
James Bond,the chinese girl,Undirected,1030,,,5,verbal
James Bond,the english girl,Undirected,1031,,,5,verbal
James Bond,the german girl,Undirected,1032,,,5,verbal
James Bond,the indian girl,Undirected,1033,,,5,verbal
James Bond,the irish girl,Undirected,1034,,,5,verbal
James Bond,the israeli girl,Undirected,1035,,,5,verbal
James Bond,the jamaican girl,Undirected,1036,,,5,verbal
James Bond,the scandinavian girl,Undirected,1037,,,5,verbal
James Bond,waiter,Undirected,1038,,,2,verbal
Moneypenny,Q,Undirected,1039,,,2,verbal
M,Moneypenny,Undirected,1040,,,5,verbal
M,Q,Undirected,1041,,,3,verbal
M,minister,Undirected,1042,,,1,verbal
Nancy,Ruby,Undirected,1043,,,10,verbal
Nancy,the american girl,Undirected,1044,,,10,verbal
Nancy,the australian girl,Undirected,1045,,,10,verbal
Nancy,the chinese girl,Undirected,1046,,,10,verbal
Nancy,the english girl,Undirected,1047,,,10,verbal
Nancy,the german girl,Undirected,1048,,,10,verbal
Nancy,the indian girl,Undirected,1049,,,10,verbal
Nancy,the irish girl,Undirected,1050,,,10,verbal
Nancy,the israeli girl,Undirected,1051,,,10,verbal
Nancy,the jamaican girl,Undirected,1052,,,10,verbal
Nancy,the scandinavian girl,Undirected,1053,,,10,verbal
Olympe,Tracy,Undirected,1054,,,3,verbal
