Source,Target,Type,Id,Label,timeset,Weight,communication
Bukharin,M,Undirected,249,,,3,verbal
Bukharin,Robinson,Undirected,250,,,4,verbal
Bukharin,Roebuck,Undirected,251,,,3,verbal
Carver's assistant girl,James Bond,Undirected,252,,,1,verbal
Carver's soldiers,Gupta,Undirected,253,,,1,verbal
Carver,Carver's assistant girl,Undirected,254,,,3,verbal
Carver,Carver's soldiers,Undirected,255,,,4,verbal
Carver,Gupta,Undirected,256,,,10,verbal
Carver,Hobbs,Undirected,257,,,2,verbal
Carver,James Bond,Undirected,258,,,18,verbal
Carver,Jones,Undirected,259,,,2,verbal
Carver,Mary,Undirected,260,,,1,verbal
Carver,Paris,Undirected,261,,,4,verbal
Carver,Stamper,Undirected,262,,,12,verbal
Carver,Wai Lin,Undirected,263,,,12,verbal
Carver,Walleys,Undirected,264,,,2,verbal
Carver,captain 1,Undirected,265,,,1,verbal
Carver,guards,Undirected,266,,,1,verbal
Chinese admiral,admiral,Undirected,267,,,1,verbal
Greenwalt,James Bond,Undirected,268,,,1,verbal
Greenwalt,Tom,Undirected,269,,,2,verbal
Greenwalt,US soldier,Undirected,270,,,1,verbal
Gupta,Stamper,Undirected,271,,,3,verbal
Gupta,guards,Undirected,272,,,1,verbal
Hobbs,Jones,Undirected,273,,,1,verbal
Hobbs,Mary,Undirected,274,,,1,verbal
Hobbs,Walleys,Undirected,275,,,1,verbal
Inga,James Bond,Undirected,276,,,1,verbal
James Bond,Kaufman,Undirected,277,,,2,verbal
James Bond,M,Undirected,278,,,6,verbal
James Bond,Moneypenny,Undirected,279,,,4,verbal
James Bond,Paris,Undirected,280,,,6,verbal
James Bond,Q,Undirected,281,,,1,verbal
James Bond,Robinson,Undirected,282,,,7,verbal
James Bond,Roebuck,Undirected,283,,,1,verbal
James Bond,Stamper,Undirected,284,,,10,verbal
James Bond,Thug 1,Undirected,285,,,3,verbal
James Bond,Tom,Undirected,286,,,4,verbal
James Bond,US soldier,Undirected,287,,,1,verbal
James Bond,Wai Lin,Undirected,288,,,25,verbal
