Source,Target,Type,Id,Label,timeset,Weight,communication
Davidov,Renard's man 2,Undirected,0,,,1,context
Elektra,killers 2,Undirected,1,,,1,context
Elektra,sir Robert,Undirected,2,,,1,context
Gabor,Robinson,Undirected,3,,,1,context
Renard,Zukovsky,Undirected,4,,,1,context
Renard,cigar girl,Undirected,5,,,1,context
Renard,killers 1,Undirected,6,,,1,context
Arkov,Renard's man,Undirected,7,,,1,nonverbal
Christmas,James Bond,Undirected,8,,,25,verbal
Christmas,Zukovsky,Undirected,9,,,5,verbal
Christmas,killers 2,Undirected,10,,,1,nonverbal
Davidov,James Bond,Undirected,11,,,3,verbal
Davidov,Renard's man,Undirected,12,,,1,nonverbal
Elektra,Gabor,Undirected,13,,,5,verbal
Elektra,James Bond,Undirected,14,,,20,verbal
Elektra,M,Undirected,15,,,10,verbal
Elektra,killers 1,Undirected,16,,,1,nonverbal
Gabor,James Bond,Undirected,17,,,5,verbal
James Bond,Lachaise's guard 1,Undirected,18,,,1,nonverbal
James Bond,Lachaise's guard 2,Undirected,19,,,1,nonverbal
James Bond,Renard's men,Undirected,20,,,1,nonverbal
James Bond,Zukovsky,Undirected,21,,,13,verbal
James Bond,cigar girl,Undirected,22,,,3,verbal
James Bond,killers 1,Undirected,23,,,1,nonverbal
James Bond,killers 2,Undirected,24,,,1,nonverbal
Lachaise's guard 1,Lachaise's guard 2,Undirected,25,,,1,nonverbal
Molly,Moneypenny,Undirected,26,,,1,nonverbal
Renard's men,Zukovsky,Undirected,27,,,1,nonverbal
Zukovsky,killers 2,Undirected,28,,,1,nonverbal
cigar girl,sir Robert,Undirected,29,,,1,nonverbal
Arkov,Renard,Undirected,30,,,1,verbal
Bull,Christmas,Undirected,31,,,1,verbal
Bull,Elektra,Undirected,32,,,1,verbal
Bull,Gabor,Undirected,33,,,1,verbal
Bull,James Bond,Undirected,34,,,4,verbal
Bull,Nina,Undirected,35,,,1,verbal
Bull,Vera,Undirected,36,,,1,verbal
Bull,Zukovsky,Undirected,37,,,4,verbal
Christmas,Elektra,Undirected,38,,,2,verbal
