Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Dryden,Dryden,,m,3,3,3,0.485981,0.509615,0.5,0.039869,0.039869,0,0.012476,0,0.666667,2,0.111736
Dryden's messenger,Dryden's messenger,,m,2,2,3,0.481481,0.5,0,0.035713,0.035713,0,0.009071,0,1,1,0.097753
M,M,,f,7,17,3,0.514851,0.554487,9,0.054013,0.054013,0,0.025373,0,0.428571,9,0.15896
Gettler's man,Gettler's man,,m,3,3,3,0.485981,0.509615,0,0.040373,0.040372,0,0.011924,0,1,3,0.112095
Gettler's men,Gettler's men,,n,3,3,3,0.485981,0.509615,0,0.040373,0.040372,0,0.011924,0,1,3,0.112095
Gettler,Gettler,,m,5,6,3,0.5,0.532051,2.666667,0.055395,0.055395,0,0.017698,0,0.6,6,0.153954
White,White,,m,5,7,3,0.514851,0.541667,1.533333,0.07985,0.07985,0,0.016262,0,0.8,8,0.211988
Kratt,Kratt,,m,6,7,3,0.514851,0.548077,11.744444,0.098372,0.098372,3,0.018086,0,0.6,9,0.250913
Madame Wu,Madame Wu,,f,13,25,3,0.553191,0.615385,16.777778,0.259195,0.259195,3,0.030989,0,0.75641,59,0.613364
general,general,,m,3,5,4,0.390977,0.429487,0,0.055636,0.055636,3,0.009652,0,1,3,0.13429
Le Chiffre,Le Chiffre,,m,22,76,3,0.619048,0.705128,152.944444,0.309929,0.309929,3,0.057883,0,0.337662,78,0.755025
Solange,Solange,,f,3,5,3,0.5,0.519231,0,0.065409,0.065409,2,0.010626,0,1,3,0.17073
Vesper,Vesper,,f,10,39,3,0.541667,0.589744,31.65,0.115406,0.115406,0,0.031045,0,0.355556,16,0.303175
Vesper's boyfriend,Vesper's boyfriend,,m,2,2,4,0.396947,0.429487,0,0.035452,0.035452,0,0.007705,0,1,1,0.089473
Mathis,Mathis,,m,3,14,3,0.490566,0.512821,0.833333,0.046511,0.046511,0,0.011258,0,0.666667,2,0.129228
Villiers,Villiers,,m,4,10,3,0.5,0.525641,0,0.044529,0.044529,0,0.014898,0,1,6,0.129509
doctor,doctor,,m,6,11,3,0.509804,0.544872,49,0.045811,0.045811,1,0.022142,0,0.6,9,0.136835
doctor 2,doctor 2,,m,6,11,3,0.509804,0.544872,49,0.045811,0.045811,1,0.022142,0,0.6,9,0.136835
technican 1,technican 1,,m,2,2,3,0.481481,0.5,0,0.036892,0.036892,0,0.008619,0,1,1,0.102473
Carlos,Carlos,,m,2,2,3,0.481481,0.5,0,0.039576,0.039576,2,0.00839,0,1,1,0.108012
Dimitros,Dimitros,,m,8,15,3,0.525253,0.567308,13.766667,0.086214,0.086213,2,0.026863,0,0.357143,10,0.231393
James Bond,James Bond,,m,46,141,2,0.896552,0.942308,1030.983333,0.388604,0.388604,0,0.146318,0,0.100483,104,1
Carter,Carter,,m,3,4,3,0.485981,0.509615,0.5,0.039206,0.039206,0,0.012741,0,0.666667,2,0.108527
James Bond's assistant,James Bond's assistant,,m,2,2,3,0.481481,0.5,0,0.035658,0.035658,0,0.009147,0,1,1,0.097445
Mollaka,Mollaka,,m,4,4,3,0.490566,0.519231,1.5,0.046112,0.046112,0,0.015615,0,0.5,3,0.128687
Miami police,Miami police,,n,1,1,3,0.477064,0.490385,0,0.03239,0.03239,0,0.005535,0,0,0,0.087108
Obanno,Obanno,,m,7,10,3,0.525253,0.560897,51.833333,0.088666,0.088666,0,0.02341,0,0.571429,12,0.235965
Obanno's friend,Obanno's friend,,m,5,5,3,0.514851,0.541667,0.25,0.081954,0.081954,0,0.015954,0,0.9,9,0.216334
Valenka,Valenka,,f,5,6,3,0.514851,0.541667,1,0.080643,0.080643,0,0.015887,0,0.8,8,0.211778
soldiers,soldiers,,n,2,2,3,0.481481,0.5,0,0.035658,0.035658,0,0.009147,0,1,1,0.097445
