Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Bonita,Bonita,,f,2,2,4,0.41129,0.444444,0,0,0.011391,0,1,1,0.152315
man,man,,m,2,2,4,0.41129,0.444444,0,0,0.011391,0,1,1,0.152315
Felix,Felix,,m,11,27,4,0.485714,0.565359,254.666667,4,0.04488,0,0.236364,13,0.389725
Johnnie,Johnnie,,m,4,11,5,0.335526,0.386928,0,4,0.017091,0,1,6,0.105117
Pussy Galore,Pussy Galore,,f,11,28,3,0.542553,0.598039,252.083333,4,0.048758,0,0.181818,10,0.53983
general,general,,m,4,7,5,0.335526,0.386928,0,4,0.017091,0,1,6,0.105117
officers,officers,,n,4,7,5,0.335526,0.386928,0,4,0.017091,0,1,6,0.105117
sodiers,soldiers,,,4,4,5,0.335526,0.386928,0,4,0.017091,0,1,6,0.105117
Goldfinger,Goldfinger,,m,19,54,3,0.566667,0.663399,358.133333,2,0.074386,0,0.181287,31,0.873043
Goldfinger's guards,Goldfinger's guards,,n,3,3,3,0.455357,0.486928,2.933333,4,0.013673,0,0.666667,2,0.275332
Goldfinger's people,Goldfinger's people,,n,3,3,4,0.369565,0.413399,0.5,2,0.013873,0,0.666667,2,0.179283
someone,someone,,m,4,4,3,0.476636,0.509804,7.166667,4,0.017637,0,0.666667,4,0.341099
Jill Masterson,Jill Masterson,,f,3,6,4,0.414634,0.454248,0.5,4,0.014095,0,0.666667,2,0.207867
Tilly,Tilly,,f,4,7,4,0.418033,0.464052,1.333333,4,0.017871,0,0.5,3,0.245957
M,M,,m,5,7,4,0.447368,0.496732,15.166667,3,0.023865,0,0.4,4,0.254724
Q,Q,,m,2,2,4,0.41129,0.444444,0,3,0.010603,0,1,1,0.166253
James Bond,James Bond,,m,29,85,3,0.68,0.777778,807.033333,4,0.130417,0,0.066502,27,1
Kisch,Kisch,,m,5,8,3,0.481132,0.519608,17.483333,4,0.021025,0,0.6,6,0.388296
