Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Davidov,Davidov,,m,8,14,2,0.557143,0.602564,28.518254,0.157196,0.157197,1,0.035024,0,0.392857,11,0.33994
Renard's man 2,Renard's man 2,,m,3,3,3,0.5,0.525641,0,0.091018,0.09102,1,0.014377,0,1,3,0.19731
Elektra,Elektra,,f,18,63,2,0.65,0.730769,158.881746,0.315837,0.315835,2,0.077008,0,0.24183,37,0.674917
killers 2,killers 2,,n,4,4,3,0.513158,0.542735,0,0.134358,0.134361,2,0.017453,0,1,6,0.286426
sir Robert,sir Robert,,m,4,4,3,0.506494,0.538462,1.866667,0.119603,0.119605,2,0.017897,0,0.666667,4,0.255903
Gabor,Gabor,,m,8,17,3,0.541667,0.594017,5.285714,0.204926,0.204927,2,0.031594,0,0.607143,17,0.435452
Robinson,Robinson,,m,9,29,3,0.541667,0.602564,7.95,0.218964,0.218965,0,0.034234,0,0.638889,23,0.463361
Renard,Renard,,m,15,29,2,0.619048,0.692308,105.14127,0.251763,0.251763,1,0.063212,0,0.228571,24,0.544205
Zukovsky,Zukovsky,,m,13,36,2,0.6,0.666667,44.927778,0.234502,0.2345,2,0.053318,0,0.320513,25,0.50359
cigar girl,cigar girl,,f,4,6,3,0.5,0.534188,3,0.094524,0.094525,2,0.018715,0,0.5,3,0.205497
killers 1,killers 1,,n,3,3,2,0.52,0.538462,0,0.107531,0.107533,2,0.014288,0,1,3,0.231325
Arkov,Arkov,,m,2,2,3,0.39,0.423077,0,0.030973,0.030973,1,0.011899,0,1,1,0.068802
Renard's man,Renard's man,,m,3,3,3,0.40625,0.448718,1.333333,0.045794,0.045793,1,0.016113,0,0.666667,2,0.1013
Christmas,Christmas,,f,12,43,2,0.590909,0.653846,17.929365,0.274997,0.274997,2,0.04607,0,0.469697,31,0.584563
James Bond,James Bond,,m,32,136,2,0.847826,0.910256,380.448413,0.465458,0.465448,2,0.125208,0,0.147177,73,1
M,M,,f,13,53,2,0.6,0.666667,32.856349,0.273218,0.273217,0,0.049131,0,0.423077,33,0.580887
Lachaise's guard 1,Lachaise's guard 1,,m,3,3,3,0.47561,0.508547,0,0.062359,0.06236,3,0.01581,0,1,3,0.136918
Lachaise's guard 2,Lachaise's guard 2,,m,3,3,3,0.47561,0.508547,0,0.062359,0.06236,3,0.01581,0,1,3,0.136918
Renard's men,Renard's men,,n,3,4,3,0.493671,0.521368,0,0.099064,0.099067,1,0.014138,0,1,3,0.213897
Molly,Molly,,f,5,6,3,0.4875,0.534188,0,0.128745,0.128746,0,0.020293,0,1,10,0.273222
Moneypenny,Moneypenny,,f,6,16,3,0.493671,0.547009,0.5,0.139606,0.139607,0,0.02392,0,0.866667,13,0.29664
Bull,Bull,,m,7,13,3,0.534247,0.581197,5.194444,0.1769,0.176901,2,0.028371,0,0.666667,14,0.377323
Nina,Nina,,f,4,4,3,0.4875,0.525641,0,0.101877,0.101878,2,0.017784,0,1,6,0.218856
Vera,Vera,,f,4,4,3,0.4875,0.525641,0,0.101877,0.101878,2,0.017784,0,1,6,0.218856
Technician,Technician,,m,5,12,3,0.513158,0.551282,0,0.161181,0.161183,0,0.020414,0,1,10,0.341025
colonel Akakievich,colonel Akakievich,,m,3,4,3,0.493671,0.521368,0,0.10328,0.103282,2,0.013917,0,1,3,0.221151
operator,operator,,m,3,4,3,0.481481,0.512821,0,0.101483,0.101485,2,0.01382,0,1,3,0.216519
Foreman,Foreman,,m,2,2,3,0.414894,0.448718,0,0.049239,0.049239,1,0.011105,0,1,1,0.105798
doctor,doctor,,m,3,3,3,0.4875,0.517094,0,0.086143,0.086144,2,0.014153,0,1,3,0.184819
guards,guards,,n,1,1,3,0.397959,0.423077,0,0.032876,0.032876,2,0.007383,0,0,0,0.069907
pilot,pilot,,m,1,1,3,0.397959,0.423077,0,0.032876,0.032876,2,0.007383,0,0,0,0.069907
priest,priest,,m,1,1,3,0.397959,0.423077,0,0.032876,0.032876,2,0.007383,0,0,0,0.069907
Lachaise,Lachaise,,m,4,6,3,0.481481,0.521368,1,0.07127,0.071272,3,0.020016,0,0.666667,4,0.156771
Q,Q,,m,3,7,3,0.47561,0.508547,0,0.08888,0.088882,0,0.013851,0,1,3,0.189887
R,R,,m,5,7,3,0.4875,0.534188,0.666667,0.115204,0.115206,0,0.020984,0,0.8,8,0.245903
Renard's crew,Renard's crew,,n,2,2,3,0.4875,0.508547,0,0.074655,0.074657,1,0.010655,0,1,1,0.161419
Tanner,Tanner,,m,6,21,3,0.493671,0.547009,0.5,0.139606,0.139607,0,0.02392,0,0.866667,13,0.29664
Zukovsky's guard,Zukovsky's guard,,m,2,2,3,0.47561,0.5,0,0.072858,0.07286,2,0.010557,0,1,1,0.156787
dealer,dealer,,m,3,3,3,0.506494,0.529915,0,0.105734,0.105736,2,0.014191,0,1,3,0.226694
Nickolay,Nickolay,,m,2,2,3,0.419355,0.452991,0,0.050616,0.050616,1,0.010815,0,1,1,0.109589
