Source,Target,Type,Id,Label,timeset,Weight,communication
Aki,Henderson,Undirected,200,,,1,context
Blofeld,Blofeld's people,Undirected,201,,,1,context
Brandt,killers 2,Undirected,202,,,1,context
Henderson,Tanaka,Undirected,203,,,1,context
Henderson,japanese girl,Undirected,204,,,1,context
M,Q,Undirected,205,,,1,context
M,Tanaka,Undirected,206,,,1,context
Osato,Osato's secretary,Undirected,207,,,1,context
Sandanaiama,bald japanese man,Undirected,208,,,1,context
Tanaka,Tanaka's people,Undirected,209,,,4,verbal
driver 1,killer,Undirected,210,,,1,context
Aki,James Bond,Undirected,211,,,14,verbal
Aki,japanese girl,Undirected,212,,,3,verbal
Aki,killer 3,Undirected,213,,,1,nonverbal
Aki,killers 2,Undirected,214,,,1,nonverbal
Blofeld's people,James Bond,Undirected,215,,,1,nonverbal
Blofeld's people,Kissy,Undirected,216,,,1,nonverbal
Blofeld's people,Tanaka,Undirected,217,,,1,nonverbal
Blofeld's people,Tanaka's people,Undirected,218,,,1,nonverbal
Blofeld,Tanaka,Undirected,219,,,1,nonverbal
Hanz,James Bond,Undirected,220,,,1,nonverbal
Henderson,killer,Undirected,221,,,1,nonverbal
James Bond,Kissy,Undirected,222,,,8,verbal
James Bond,Maike,Undirected,223,,,2,verbal
James Bond,Osato's men,Undirected,224,,,2,verbal
James Bond,Tanaka,Undirected,225,,,19,verbal
James Bond,chinese man 1,Undirected,226,,,1,nonverbal
James Bond,chinese man 2,Undirected,227,,,1,nonverbal
James Bond,diver 1,Undirected,228,,,1,nonverbal
James Bond,diver 2,Undirected,229,,,1,nonverbal
James Bond,guard 1,Undirected,230,,,1,nonverbal
James Bond,guard 2,Undirected,231,,,1,nonverbal
James Bond,guards,Undirected,232,,,1,nonverbal
James Bond,japanese girl,Undirected,233,,,3,verbal
James Bond,killer,Undirected,234,,,1,nonverbal
James Bond,killer 3,Undirected,235,,,1,nonverbal
James Bond,killers 2,Undirected,236,,,1,nonverbal
James Bond,soviet astronaut 1,Undirected,237,,,2,verbal
James Bond,soviet astronaut 2,Undirected,238,,,2,verbal
James Bond,three japanese girls,Undirected,239,,,1,nonverbal
James Bond,waiter,Undirected,240,,,1,nonverbal
Kissy,Tanaka,Undirected,241,,,3,verbal
Kissy,Tanaka's people,Undirected,242,,,2,verbal
Ling,chinese man 1,Undirected,243,,,1,nonverbal
Ling,chinese man 2,Undirected,244,,,1,nonverbal
Maike,guards,Undirected,245,,,1,nonverbal
Maike,soviet astronaut 1,Undirected,246,,,3,verbal
Maike,soviet astronaut 2,Undirected,247,,,3,verbal
Osato's assistant,Osato's secretary,Undirected,248,,,1,nonverbal
Tanaka,japanese girl,Undirected,250,,,1,nonverbal
Tanaka,three japanese girls,Undirected,251,,,1,nonverbal
Tanaka,waiter,Undirected,252,,,1,nonverbal
chinese man 1,chinese man 2,Undirected,253,,,2,nonverbal
diver 1,diver 2,Undirected,254,,,1,nonverbal
guard 1,guard 2,Undirected,255,,,1,nonverbal
guards,soviet astronaut 1,Undirected,256,,,1,nonverbal
guards,soviet astronaut 2,Undirected,257,,,1,nonverbal
japanese girl,three japanese girls,Undirected,258,,,2,verbal
soviet astronaut 1,soviet astronaut 2,Undirected,259,,,4,verbal
Aki,Q,Undirected,261,,,1,verbal
Aki,Tanaka,Undirected,262,,,3,verbal
Aki,three japanese girls,Undirected,264,,,1,verbal
Blofeld's astonaut,Osato's guard,Undirected,265,,,1,verbal
Blofeld's financier 1,Blofeld's financier 2,Undirected,266,,,2,verbal
Blofeld's people,Osato's assistant,Undirected,267,,,1,verbal
Blofeld,Blofeld's financier 1,Undirected,268,,,2,verbal
Blofeld,Blofeld's financier 2,Undirected,269,,,2,verbal
Blofeld,Brandt,Undirected,270,,,2,verbal
Blofeld,Hanz,Undirected,271,,,2,verbal
Blofeld,James Bond,Undirected,272,,,3,verbal
Blofeld,Osato,Undirected,273,,,4,verbal
Blofeld,Osato's assistant,Undirected,274,,,2,verbal
Blofeld,Osato's guard,Undirected,275,,,2,verbal
Brandt,James Bond,Undirected,276,,,8,verbal
Brandt,Osato,Undirected,277,,,4,verbal
Brandt,Osato's assistant,Undirected,278,,,1,verbal
Brandt,Osato's guard,Undirected,279,,,1,verbal
Brandt,Osato's men,Undirected,280,,,2,verbal
Cris,Maike,Undirected,281,,,2,verbal
Cris,dispatcher 1,Undirected,282,,,2,verbal
Cris,dispatcher 2,Undirected,283,,,1,verbal
Henderson,James Bond,Undirected,284,,,1,verbal
Houston dispatcher,president's Aide,Undirected,285,,,1,verbal
James Bond,Kissy's friend 1,Undirected,287,,,1,verbal
James Bond,Kissy's friend 2,Undirected,288,,,1,verbal
James Bond,Kissy's friend 3,Undirected,289,,,1,verbal
James Bond,Ling,Undirected,290,,,1,verbal
James Bond,M,Undirected,291,,,2,verbal
James Bond,Moneypenny,Undirected,293,,,3,verbal
James Bond,Osato,Undirected,294,,,4,verbal
James Bond,Osato's assistant,Undirected,295,,,1,verbal
James Bond,Osato's secretary,Undirected,297,,,1,verbal
James Bond,Q,Undirected,298,,,3,verbal
James Bond,Sandanaiama,Undirected,299,,,1,verbal
James Bond,bald japanese man,Undirected,301,,,1,verbal
James Bond,capitan,Undirected,302,,,1,verbal
James Bond,driver 1,Undirected,303,,,1,verbal
James Bond,killer 4,Undirected,305,,,1,verbal
James Bond,lieutenant,Undirected,306,,,1,verbal
James Bond,sumo wrestler 1,Undirected,309,,,1,verbal
Kissy's friend 1,Kissy's friend 2,Undirected,310,,,1,verbal
Kissy,Kissy's friend 1,Undirected,311,,,1,verbal
Kissy,Kissy's friend 2,Undirected,312,,,1,verbal
Kissy,Kissy's friend 3,Undirected,313,,,1,verbal
Maike,dispatcher 1,Undirected,316,,,1,verbal
Maike,dispatcher 2,Undirected,317,,,2,verbal
M,Moneypenny,Undirected,320,,,2,verbal
M,capitan,Undirected,321,,,1,verbal
Osato's assistant,Osato's guard,Undirected,322,,,2,verbal
Osato,Osato's assistant,Undirected,323,,,2,verbal
Osato,Osato's guard,Undirected,324,,,2,verbal
Osato,Osato's men,Undirected,325,,,1,verbal
Q,Tanaka,Undirected,326,,,1,verbal
Sandanaiama,sumo wrestler 1,Undirected,327,,,1,verbal
Tanaka,Tanaka's man 1,Undirected,328,,,1,verbal
Tanaka,Tanaka's man 2,Undirected,329,,,1,verbal
UK diplomant,USA diplomant,Undirected,331,,,1,verbal
UK diplomant,USSR diplomant,Undirected,332,,,1,verbal
USA diplomant,USSR diplomant,Undirected,333,,,1,verbal
american astronaut 1,american dispatcher,Undirected,334,,,1,verbal
capitan,lieutenant,Undirected,335,,,1,verbal
dispatcher 1,dispatcher 2,Undirected,336,,,2,verbal
dispatcher 2,president's Aide,Undirected,337,,,2,verbal
millitary chief,politican,Undirected,339,,,1,verbal
millitary chief,president's Aide,Undirected,340,,,2,verbal
millitary chief,secretary of Defense,Undirected,341,,,1,verbal
policeman 1,policeman 2,Undirected,342,,,1,verbal
politican,president's Aide,Undirected,343,,,1,verbal
politican,secretary of Defense,Undirected,344,,,1,verbal
president's Aide,secretary of Defense,Undirected,345,,,1,verbal
soviet astronaut 1,soviet dispatcher 1,Undirected,347,,,1,verbal
soviet astronaut 1,soviet dispatcher 2,Undirected,348,,,1,verbal
soviet astronaut 2,soviet dispatcher 1,Undirected,349,,,1,verbal
soviet astronaut 2,soviet dispatcher 2,Undirected,350,,,1,verbal
soviet dispatcher 1,soviet dispatcher 2,Undirected,351,,,1,verbal
