Source,Target,Type,Id,Label,timeset,Weight,communication
Dryden,Dryden's messenger,Undirected,118,,,1,context
Dryden,M,Undirected,119,,,1,context
Gettler's man,Gettler's men,Undirected,120,,,1,context
Gettler,Gettler's man,Undirected,121,,,1,context
Gettler,Gettler's men,Undirected,122,,,1,context
Gettler,White,Undirected,123,,,1,context
Kratt,Madame Wu,Undirected,124,,,1,context
Kratt,general,Undirected,125,,,1,context
Le Chiffre,Solange,Undirected,126,,,1,context
Le Chiffre,Vesper,Undirected,127,,,1,context
Le Chiffre,Vesper's boyfriend,Undirected,128,,,1,context
Le Chiffre,White,Undirected,129,,,3,verbal
Madame Wu,general,Undirected,130,,,2,nonverbal
M,Mathis,Undirected,131,,,1,context
M,Villiers,Undirected,132,,,5,verbal
M,doctor,Undirected,133,,,1,context
M,doctor 2,Undirected,134,,,1,context
M,technican 1,Undirected,135,,,1,context
Vesper,Vesper's boyfriend,Undirected,136,,,1,context
Vesper,White,Undirected,137,,,1,context
Villiers,doctor,Undirected,138,,,2,context
Villiers,doctor 2,Undirected,139,,,2,context
doctor,doctor 2,Undirected,140,,,4,verbal
Carlos,Dimitros,Undirected,141,,,1,nonverbal
Carlos,James Bond,Undirected,142,,,1,nonverbal
Carter,James Bond,Undirected,143,,,2,verbal
Carter,James Bond's assistant,Undirected,144,,,1,nonverbal
Carter,Mollaka,Undirected,145,,,1,nonverbal
Dimitros,James Bond,Undirected,146,,,3,verbal
Dimitros,Kratt,Undirected,147,,,1,nonverbal
Dimitros,Mollaka,Undirected,148,,,1,nonverbal
Dryden's messenger,James Bond,Undirected,149,,,1,nonverbal
Gettler's man,James Bond,Undirected,150,,,1,nonverbal
Gettler's men,James Bond,Undirected,151,,,1,nonverbal
Gettler,Vesper,Undirected,152,,,2,verbal
James Bond,James Bond's assistant,Undirected,153,,,1,nonverbal
James Bond,Kratt,Undirected,154,,,1,nonverbal
James Bond,Miami police,Undirected,155,,,1,nonverbal
James Bond,Mollaka,Undirected,156,,,1,nonverbal
James Bond,Obanno,Undirected,157,,,1,nonverbal
James Bond,Obanno's friend,Undirected,158,,,1,nonverbal
James Bond,Valenka,Undirected,159,,,1,nonverbal
James Bond,Vesper,Undirected,160,,,23,verbal
James Bond,soldiers,Undirected,161,,,1,nonverbal
James Bond,technican 1,Undirected,162,,,1,nonverbal
Kratt,Le Chiffre,Undirected,163,,,2,verbal
Kratt,Valenka,Undirected,164,,,1,nonverbal
Le Chiffre,Madame Wu,Undirected,165,,,3,verbal
Le Chiffre,Obanno's friend,Undirected,166,,,1,nonverbal
Le Chiffre,general,Undirected,168,,,2,verbal
Obanno's friend,Valenka,Undirected,170,,,1,nonverbal
Obanno's friend,Vesper,Undirected,171,,,1,nonverbal
Obanno,Obanno's friend,Undirected,172,,,1,nonverbal
Obanno,Vesper,Undirected,173,,,1,nonverbal
Vesper,front desk clerk,Undirected,174,,,1,nonverbal
co-worker,doctor,Undirected,175,,,1,nonverbal
co-worker,doctor 2,Undirected,176,,,1,nonverbal
co-worker,technican,Undirected,177,,,2,verbal
doctor 2,technican,Undirected,178,,,1,nonverbal
doctor,technican,Undirected,180,,,1,nonverbal
military attache,soldiers,Undirected,181,,,1,nonverbal
Dimitros,Le Chiffre,Undirected,184,,,1,verbal
Dimitros,Solange,Undirected,185,,,2,verbal
Dimitros,card players,Undirected,186,,,3,verbal
Dimitros,dealer 1,Undirected,187,,,3,verbal
Dryden,James Bond,Undirected,188,,,1,verbal
Felix,Fukutu,Undirected,189,,,2,verbal
Felix,Gallardo,Undirected,190,,,2,verbal
Felix,Grafin von Wallenstein,Undirected,191,,,2,verbal
Felix,Infante,Undirected,192,,,3,verbal
Felix,James Bond,Undirected,193,,,8,verbal
Felix,Kaminofsky,Undirected,194,,,2,verbal
Felix,Le Chiffre,Undirected,195,,,6,verbal
Felix,Madame Wu,Undirected,196,,,2,verbal
Felix,Mendel,Undirected,197,,,1,verbal
Felix,Tomelli,Undirected,198,,,3,verbal
Felix,barman,Undirected,199,,,1,verbal
Felix,dealer,Undirected,200,,,5,verbal
Fukutu,Gallardo,Undirected,201,,,2,verbal
Fukutu,Grafin von Wallenstein,Undirected,202,,,2,verbal
Fukutu,Infante,Undirected,203,,,5,verbal
Fukutu,James Bond,Undirected,204,,,5,verbal
Fukutu,Kaminofsky,Undirected,205,,,2,verbal
Fukutu,Le Chiffre,Undirected,206,,,5,verbal
Fukutu,Madame Wu,Undirected,207,,,2,verbal
Fukutu,Mendel,Undirected,208,,,1,verbal
Fukutu,Tomelli,Undirected,209,,,2,verbal
Fukutu,dealer,Undirected,210,,,5,verbal
Gallardo,Grafin von Wallenstein,Undirected,211,,,2,verbal
Gallardo,Infante,Undirected,212,,,2,verbal
Gallardo,James Bond,Undirected,213,,,2,verbal
Gallardo,Kaminofsky,Undirected,214,,,2,verbal
Gallardo,Le Chiffre,Undirected,215,,,2,verbal
Gallardo,Madame Wu,Undirected,216,,,2,verbal
Gallardo,Mendel,Undirected,217,,,1,verbal
Gallardo,Tomelli,Undirected,218,,,2,verbal
Gallardo,dealer,Undirected,219,,,2,verbal
Gettler,James Bond,Undirected,220,,,1,verbal
Grafin von Wallenstein,Infante,Undirected,222,,,2,verbal
Grafin von Wallenstein,James Bond,Undirected,223,,,2,verbal
Grafin von Wallenstein,Kaminofsky,Undirected,224,,,2,verbal
Grafin von Wallenstein,Le Chiffre,Undirected,225,,,2,verbal
Grafin von Wallenstein,Madame Wu,Undirected,226,,,2,verbal
Grafin von Wallenstein,Mendel,Undirected,227,,,1,verbal
Grafin von Wallenstein,Tomelli,Undirected,228,,,2,verbal
Grafin von Wallenstein,dealer,Undirected,229,,,2,verbal
Infante,James Bond,Undirected,230,,,6,verbal
Infante,Kaminofsky,Undirected,231,,,2,verbal
Infante,Le Chiffre,Undirected,232,,,6,verbal
Infante,Madame Wu,Undirected,233,,,2,verbal
Infante,Mendel,Undirected,234,,,1,verbal
Infante,Tomelli,Undirected,235,,,3,verbal
Infante,barman,Undirected,236,,,1,verbal
Infante,dealer,Undirected,237,,,5,verbal
James Bond,Kaminofsky,Undirected,238,,,2,verbal
James Bond,Le Chiffre,Undirected,239,,,17,verbal
James Bond,M,Undirected,240,,,7,verbal
James Bond,Madame Wu,Undirected,241,,,2,verbal
James Bond,Mathis,Undirected,242,,,6,verbal
James Bond,Mendel,Undirected,243,,,5,verbal
James Bond,Solange,Undirected,244,,,2,verbal
James Bond,Tomelli,Undirected,245,,,3,verbal
James Bond,Villiers,Undirected,247,,,1,verbal
James Bond,White,Undirected,248,,,1,verbal
James Bond,barman,Undirected,249,,,1,verbal
James Bond,barman 1,Undirected,250,,,1,verbal
James Bond,bartender,Undirected,251,,,1,verbal
James Bond,card players,Undirected,252,,,2,verbal
James Bond,dealer,Undirected,253,,,12,verbal
James Bond,dealer 1,Undirected,254,,,2,verbal
James Bond,doctor,Undirected,255,,,2,verbal
James Bond,doctor 2,Undirected,256,,,2,verbal
James Bond,front desk clerk,Undirected,257,,,2,verbal
James Bond,german,Undirected,258,,,1,verbal
James Bond,hotel worker,Undirected,259,,,1,verbal
James Bond,military attache,Undirected,260,,,1,verbal
James Bond,receptionist,Undirected,261,,,1,verbal
Kaminofsky,Le Chiffre,Undirected,262,,,2,verbal
Kaminofsky,Madame Wu,Undirected,263,,,2,verbal
Kaminofsky,Mendel,Undirected,264,,,1,verbal
Kaminofsky,Tomelli,Undirected,265,,,2,verbal
Kaminofsky,dealer,Undirected,266,,,2,verbal
Le Chiffre,Mendel,Undirected,269,,,1,verbal
Le Chiffre,Obanno,Undirected,270,,,3,verbal
Le Chiffre,Tomelli,Undirected,271,,,3,verbal
Le Chiffre,Valenka,Undirected,272,,,1,verbal
Le Chiffre,broker,Undirected,274,,,2,verbal
Le Chiffre,dealer,Undirected,275,,,11,verbal
Madame Wu,Mendel,Undirected,277,,,1,verbal
Madame Wu,Tomelli,Undirected,278,,,2,verbal
Madame Wu,dealer,Undirected,279,,,2,verbal
Mathis,Vesper,Undirected,280,,,7,verbal
Mendel,Tomelli,Undirected,281,,,1,verbal
Mendel,Vesper,Undirected,282,,,1,verbal
Mendel,dealer,Undirected,283,,,1,verbal
Mollaka,military attache,Undirected,284,,,1,verbal
Obanno,Valenka,Undirected,286,,,2,verbal
Obanno,White,Undirected,287,,,1,verbal
