Source,Target,Type,Id,Label,timeset,Weight,communication
Bonita,man,Undirected,100,,,1,context
Goldfinger's guards,James Bond,Undirected,82,,,1,nonverbal
Felix,Pussy Galore,Undirected,102,,,1,context
Felix,general,Undirected,103,,,2,verbal
Felix,officers,Undirected,104,,,2,verbal
Felix,sodiers,Undirected,105,,,1,context
Goldfinger,Goldfinger's guards,Undirected,106,,,1,context
Goldfinger,Goldfinger's people,Undirected,107,,,1,context
Goldfinger,someone,Undirected,108,,,1,context
Jill Masterson,Tilly,Undirected,109,,,1,context
Jill Masterson,someone,Undirected,110,,,1,context
Johnnie,general,Undirected,111,,,2,verbal
Johnnie,officers,Undirected,112,,,2,verbal
Johnnie,sodiers,Undirected,113,,,1,context
M,Q,Undirected,114,,,1,context
general,officers,Undirected,115,,,2,verbal
general,sodiers,Undirected,116,,,1,context
officers,sodiers,Undirected,117,,,1,context
Goldfinger's guards,Tilly,Undirected,83,,,1,nonverbal
Goldfinger's people,Kisch,Undirected,84,,,1,nonverbal
Goldfinger's people,soldiers,Undirected,85,,,1,nonverbal
Goldfinger,James Bond,Undirected,86,,,17,verbal
Goldfinger,Oddjob,Undirected,87,,,1,nonverbal
Goldfinger,scientist 1,Undirected,88,,,1,nonverbal
Hawker,James Bond,Undirected,89,,,4,verbal
James Bond,Kisch,Undirected,90,,,2,verbal
James Bond,Oddjob,Undirected,91,,,6,nonverbal
James Bond,Tilly,Undirected,92,,,4,verbal
James Bond,guard 1,Undirected,93,,,1,nonverbal
James Bond,korean guard,Undirected,94,,,1,nonverbal
James Bond,man,Undirected,95,,,1,nonverbal
James Bond,scientist 1,Undirected,96,,,1,nonverbal
James Bond,someone,Undirected,97,,,1,nonverbal
Kisch,Oddjob,Undirected,98,,,2,verbal
Oddjob,Tilly,Undirected,99,,,1,nonverbal
Althea,Pussy Galore,Undirected,118,,,1,verbal
Blacking,Goldfinger,Undirected,119,,,1,verbal
Blacking,James Bond,Undirected,120,,,1,verbal
Bonita,James Bond,Undirected,121,,,1,verbal
Brunskill,Smithers,Undirected,122,,,1,verbal
Dink,Felix,Undirected,123,,,1,verbal
Dink,James Bond,Undirected,124,,,2,verbal
Felix,James Bond,Undirected,125,,,9,verbal
Felix,Johnnie,Undirected,126,,,6,verbal
Felix,M,Undirected,127,,,1,verbal
Felix,brigadier,Undirected,128,,,1,verbal
Felix,lt. colonel,Undirected,130,,,1,verbal
Felix,scientist,Undirected,132,,,2,verbal
Goldfinger,Kisch,Undirected,134,,,2,verbal
Goldfinger,Laurence,Undirected,135,,,2,verbal
Goldfinger,Ling,Undirected,136,,,2,verbal
Goldfinger,Midnight,Undirected,137,,,3,verbal
Goldfinger,Pussy Galore,Undirected,138,,,6,verbal
Goldfinger,Simmons,Undirected,139,,,5,verbal
Goldfinger,Solo,Undirected,140,,,4,verbal
Goldfinger,Strap,Undirected,141,,,3,verbal
Goldfinger,gangster 1,Undirected,142,,,1,verbal
Goldfinger,gangster 2,Undirected,143,,,1,verbal
Goldfinger,servant,Undirected,144,,,1,verbal
Goldfinger,soldiers,Undirected,145,,,1,verbal
James Bond,Jill Masterson,Undirected,147,,,4,verbal
James Bond,M,Undirected,149,,,2,verbal
James Bond,Mei Li,Undirected,150,,,3,verbal
James Bond,Moneypenny,Undirected,151,,,2,verbal
James Bond,Pussy Galore,Undirected,152,,,12,verbal
James Bond,Q,Undirected,153,,,1,verbal
James Bond,Sierra,Undirected,154,,,1,verbal
James Bond,Smithers,Undirected,155,,,2,verbal
James Bond,Solo,Undirected,156,,,1,verbal
James Bond,maid,Undirected,158,,,1,verbal
James Bond,receptionist,Undirected,159,,,1,verbal
James Bond,scientist,Undirected,160,,,1,verbal
James Bond,security officer,Undirected,161,,,1,verbal
James Bond,servant,Undirected,162,,,1,verbal
Kisch,Pussy Galore,Undirected,166,,,1,verbal
Laurence,Midnight,Undirected,167,,,2,verbal
Laurence,Solo,Undirected,168,,,2,verbal
Laurence,Strap,Undirected,169,,,2,verbal
Laurence,gangster 1,Undirected,170,,,1,verbal
Laurence,gangster 2,Undirected,171,,,1,verbal
MacCarthy,Midnight,Undirected,172,,,1,verbal
MacCarthy,Rabin,Undirected,173,,,1,verbal
Mei Li,Pussy Galore,Undirected,174,,,2,verbal
Midnight,Rabin,Undirected,175,,,1,verbal
Midnight,Solo,Undirected,176,,,3,verbal
Midnight,Strap,Undirected,177,,,3,verbal
Midnight,gangster 1,Undirected,178,,,1,verbal
Midnight,gangster 2,Undirected,179,,,1,verbal
M,Moneypenny,Undirected,180,,,2,verbal
M,Smithers,Undirected,181,,,1,verbal
Oddjob,Solo,Undirected,182,,,1,verbal
Pussy Galore,Solo,Undirected,183,,,1,verbal
Pussy Galore,Sydney,Undirected,184,,,1,verbal
Pussy Galore,guard,Undirected,185,,,1,verbal
Pussy Galore,someone,Undirected,186,,,1,verbal
Solo,Strap,Undirected,187,,,3,verbal
Solo,gangster 1,Undirected,188,,,1,verbal
Solo,gangster 2,Undirected,189,,,1,verbal
Strap,gangster 1,Undirected,190,,,1,verbal
Strap,gangster 2,Undirected,191,,,1,verbal
brigadier,lt. colonel,Undirected,192,,,1,verbal
brigadier,scientist,Undirected,193,,,1,verbal
gangster 1,gangster 2,Undirected,194,,,1,verbal
gangster 3,gangster 4,Undirected,195,,,1,verbal
gangster 3,gangster 5,Undirected,196,,,1,verbal
gangster 4,gangster 5,Undirected,197,,,1,verbal
lt. colonel,scientist,Undirected,199,,,1,verbal
Althea,0,Undirected,202,,,2,verbal
Pussy Galore,0,Undirected,201,,,1,verbal
