Source,Target,Type,Id,Label,timeset,Weight,communication
4 women,Drax,Undirected,640,,,1,context
Drax,false doctor,Undirected,641,,,1,context
Drax,man 1,Undirected,642,,,1,context
Drax,man 2,Undirected,643,,,1,context
Laws,hostess,Undirected,644,,,1,context
Laws,pilot with moustache,Undirected,645,,,1,context
hostess,pilot with moustache,Undirected,646,,,1,verbal
man 1,man 2,Undirected,647,,,1,nonverbal
4 women,Delatie,Undirected,648,,,1,nonverbal
4 women,Delimateo,Undirected,649,,,1,nonverbal
4 women,James Bond,Undirected,650,,,1,nonverbal
4 women,Lybinski,Undirected,651,,,1,nonverbal
4 women,Victoria,Undirected,652,,,1,nonverbal
Chang,Drax,Undirected,653,,,1,verbal
Chang,James Bond,Undirected,654,,,1,nonverbal
Delatie,Delimateo,Undirected,655,,,1,verbal
Delatie,James Bond,Undirected,656,,,1,verbal
Delatie,Lybinski,Undirected,657,,,1,nonverbal
Delatie,Victoria,Undirected,658,,,1,nonverbal
Delimateo,James Bond,Undirected,659,,,1,verbal
Delimateo,Lybinski,Undirected,660,,,1,nonverbal
Delimateo,Victoria,Undirected,661,,,1,nonverbal
Drax'crew,Laws,Undirected,662,,,1,nonverbal
Drax'crew,american soldiers,Undirected,663,,,1,nonverbal
Drax,James Bond,Undirected,664,,,1,verbal
Drax,hunter,Undirected,665,,,1,nonverbal
Franco,James Bond,Undirected,666,,,1,verbal
Franco,killers 1,Undirected,667,,,1,nonverbal
Holly,James Bond,Undirected,668,,,1,verbal
Holly,Laws,Undirected,669,,,1,nonverbal
Holly,false doctor,Undirected,670,,,1,nonverbal
James Bond,Laws,Undirected,671,,,1,verbal
James Bond,Lybinski,Undirected,672,,,1,verbal
James Bond,Victoria,Undirected,673,,,1,verbal
James Bond,false doctor,Undirected,674,,,1,nonverbal
James Bond,hunter,Undirected,675,,,1,nonverbal
James Bond,killers 1,Undirected,676,,,1,nonverbal
James Bond,killers 2,Undirected,677,,,1,nonverbal
James Bond,scientist 1,Undirected,678,,,1,nonverbal
James Bond,scientist 2,Undirected,679,,,1,nonverbal
Laws,Laws's girlfriend,Undirected,680,,,1,verbal
Laws,Manuela,Undirected,681,,,1,nonverbal
Laws,killers 2,Undirected,682,,,1,nonverbal
Lybinski,Victoria,Undirected,683,,,1,verbal
scientist 1,scientist 2,Undirected,685,,,1,verbal
Cavendish,Corinne,Undirected,686,,,1,verbal
Cavendish,Drax,Undirected,687,,,1,verbal
Cavendish,James Bond,Undirected,688,,,1,verbal
Chang,Holly,Undirected,690,,,1,verbal
Chang,instructor,Undirected,691,,,1,verbal
Corinne,Drax,Undirected,692,,,1,verbal
Corinne,James Bond,Undirected,693,,,1,verbal
Delatie,Drax,Undirected,695,,,1,verbal
Delimateo,Drax,Undirected,697,,,1,verbal
Drax,Gray,Undirected,699,,,1,verbal
Drax,Holly,Undirected,700,,,1,verbal
Drax,Laws,Undirected,702,,,1,verbal
Drax,Lybinski,Undirected,703,,,1,verbal
Drax,M,Undirected,704,,,1,verbal
Drax,Victoria,Undirected,705,,,1,verbal
Drax,operator,Undirected,706,,,1,verbal
Gogol,Scott,Undirected,708,,,1,verbal
Gray,James Bond,Undirected,709,,,1,verbal
Gray,M,Undirected,710,,,1,verbal
Gray,Q,Undirected,711,,,1,verbal
Gray,american diplomats,Undirected,712,,,1,verbal
Holly,Scott,Undirected,714,,,1,verbal
James Bond,M,Undirected,717,,,1,verbal
James Bond,Manuela,Undirected,718,,,1,verbal
James Bond,Moneypenny,Undirected,719,,,1,verbal
James Bond,Q,Undirected,720,,,1,verbal
James Bond,Scott,Undirected,721,,,1,verbal
James Bond,blondie woman,Undirected,723,,,1,verbal
James Bond,hostess,Undirected,724,,,1,verbal
James Bond,pilot with moustache,Undirected,725,,,1,verbal
James Bond,valet,Undirected,726,,,1,verbal
M,Moneypenny,Undirected,729,,,1,verbal
M,Q,Undirected,730,,,1,verbal
M,american diplomats,Undirected,731,,,1,verbal
M,minister,Undirected,732,,,1,verbal
Q,Q's assistant,Undirected,733,,,1,verbal
Q,american diplomats,Undirected,734,,,1,verbal
Scott,american astranaout 2,Undirected,735,,,1,verbal
pilot 1,pilot 2,Undirected,737,,,1,verbal
0,Gogol,Undirected,738,,,1,nonverbal
