n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;36;140;1;0.8;0.567
2;Zorin;m;24;87;0.619;0.667;0.275
3;May Day;f;18;63;0.446;0.615;0.089
5;Scarpine;m;10;31;0.216;0.552;0.048
4;Stacey;f;14;61;0.432;0.571;0.046
17;Conley;m;6;8;0.05;0.527;0.045
14;Gogol;m;9;10;0.065;0.475;0.022
8;Jenny;f;9;22;0.151;0.539;0.015
9;Pan Ho;f;9;21;0.144;0.545;0.014
7;Tibett;m;9;27;0.187;0.511;0.013
16;Tycoons;m;6;9;0.058;0.44;0.006
11;Mortner;m;6;17;0.115;0.527;0.005
6;M;m;6;29;0.201;0.485;0.004
12;minister;m;4;12;0.079;0.475;0.002
24;Lee;m;4;6;0.036;0.485;0.002
25;Klotkoff;m;6;6;0.036;0.453;0.001
35;Pola;f;2;3;0.014;0.466;0.001
27;guard 1;m;4;6;0.036;0.505;0.001
28;guard 2;m;4;6;0.036;0.505;0.001
10;Q;m;5;21;0.144;0.471;0.001
18;Foreman;m;5;8;0.05;0.522;0.0003
29;Bond's assistant;m;4;5;0.029;0.516;0
21;Howe;m;4;8;0.05;0.511;0
37;jockeys;n;3;3;0.014;0.505;0
38;killers;n;3;3;0.014;0.5;0
40;Aubergine;m;2;2;0.007;0.471;0
41;waiter;m;2;2;0.007;0.471;0
13;captain;m;4;11;0.072;0.466;0
15;Moneypenny;f;4;10;0.065;0.466;0
19;Harris;m;4;8;0.05;0.466;0
20;Miller;m;4;8;0.05;0.466;0
34;Conley's girlfriend;f;3;3;0.014;0.462;0
32;pilot 1;m;3;4;0.022;0.457;0
33;pilot 2;m;3;4;0.022;0.457;0
39;soldiers;n;3;3;0.014;0.457;0
36;O'Rourke;m;2;3;0.014;0.453;0
45;Kimberley;f;1;1;0;0.449;0
46;driver;m;1;1;0;0.449;0
47;guard;m;1;1;0;0.449;0
48;taxi driver;m;1;1;0;0.449;0
43;concierge;m;2;2;0.007;0.421;0
22;japanese;m;5;8;0.05;0.417;0
23;taiwanese;m;5;8;0.05;0.417;0
26;canadian;m;5;6;0.036;0.417;0
30;partners;m;5;5;0.029;0.417;0
31;Gogol's agent;m;5;5;0.029;0.407;0
49;official;m;1;1;0;0.403;0
42;man;m;1;2;0.007;0.358;0
44;technician;m;1;1;0;0.348;0
