n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;30;120;1;0.721;0.567
2;Anya;f;21;85;0.706;0.583;0.169
16;Talbot;m;7;8;0.059;0.471;0.155
7;Carter;m;8;21;0.168;0.5;0.131
3;Stromberg;m;12;29;0.235;0.527;0.097
10;capitan;m;4;12;0.092;0.462;0.066
4;Gogol;m;8;25;0.202;0.471;0.047
6;M;m;7;23;0.185;0.467;0.04
15;Benson;m;5;10;0.076;0.441;0.038
11;Naomi;f;6;11;0.084;0.467;0.038
28;sailors;n;3;3;0.017;0.371;0.013
12;executive officer;m;4;10;0.076;0.48;0.011
9;Jaws;m;6;14;0.109;0.467;0.008
5;Q;m;7;25;0.202;0.471;0.006
8;Gray;m;7;16;0.126;0.471;0.006
19;Sergei;m;5;5;0.034;0.454;0.004
29;Felicca;f;3;3;0.017;0.434;0.004
22;Sandor;m;4;4;0.025;0.454;0.002
17;Kalba;m;4;7;0.05;0.445;0.002
20;crew;n;2;5;0.034;0.343;0.002
26;Fekkesh;m;3;3;0.017;0.383;0.001
41;Bensons;m;1;1;0;1;0
42;Naval;m;1;1;0;1;0
31;killer;m;3;3;0.017;0.454;0
24;Boris;m;3;4;0.025;0.441;0
25;Ivan;m;3;4;0.025;0.441;0
18;Hargreaves;m;4;6;0.042;0.438;0
21;receptionist;f;2;4;0.025;0.438;0
27;boatman;m;2;3;0.017;0.438;0
34;barman;m;2;2;0.008;0.438;0
35;Moneypenny;f;2;2;0.008;0.43;0
36;girl;f;2;2;0.008;0.426;0
37;steward;m;2;2;0.008;0.426;0
40;Sergei's people;n;2;2;0.008;0.426;0
46;Hosein;m;1;1;0;0.422;0
47;arab guide;m;1;1;0;0.422;0
38;guard;m;2;2;0.008;0.395;0
30;Rubelvitch;f;2;3;0.017;0.377;0
13;Bechmann;m;4;10;0.076;0.355;0
14;Markovitz;m;4;10;0.076;0.355;0
23;Stromberg's Assistant;f;4;4;0.025;0.355;0
32;1st seaman;m;2;2;0.008;0.338;0
33;2nd seaman;m;2;2;0.008;0.338;0
44;sailor;m;1;1;0;0.336;0
39;chief engineer;m;1;2;0.008;0.322;0
45;chairman;m;1;1;0;0.322;0
49;radar man;m;1;1;0;0.322;0
50;radio operator;m;1;1;0;0.322;0
51;sonar man;m;1;1;0;0.322;0
48;prime minister;m;1;1;0;0.32;0
52;monitor;m;1;1;0;0.318;0
43;someone;n;1;1;0;0.308;0
