Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Bamby,Bamby,,f,3,3,4,0.418182,0.451691,0,3,0.010075,0,1,3,0.186925
Whyte,Whyte,,m,10,21,4,0.492857,0.544686,175.26746,3,0.030889,0,0.333333,15,0.424826
Blofeld's man 1,Blofeld's man 1,,m,3,4,4,0.420732,0.455314,0,3,0.010291,0,1,3,0.193755
Blofeld's man 2,Blofeld's man 2,,m,3,3,4,0.420732,0.455314,0,3,0.010291,0,1,3,0.193755
Blofeld,Blofeld,,m,16,38,4,0.50365,0.580918,259.795238,3,0.050368,0,0.166667,20,0.516028
Maria,Maria,,f,3,3,4,0.423313,0.457729,68,3,0.011986,0,0.333333,1,0.17524
Non-Blofeld,Non-Blofeld,,m,2,2,4,0.418182,0.448068,0,3,0.007376,0,1,1,0.171777
Shady,Shady,,m,6,7,4,0.448052,0.491546,10.758333,4,0.018131,0,0.6,9,0.308859
Donald,Donald,,m,3,6,4,0.413174,0.448068,0,1,0.01054,0,1,3,0.15187
Donald's assistant,Donald's assistant,,m,3,3,4,0.413174,0.448068,0,1,0.01054,0,1,3,0.15187
Felix,Felix,,m,13,29,4,0.485915,0.554348,278.116667,3,0.042294,0,0.179487,14,0.382263
Q,Q,,m,4,5,4,0.45098,0.485507,6.166667,3,0.012984,0,0.666667,4,0.237671
Joe,Joe,,m,3,3,5,0.323944,0.355556,0,4,0.010154,0,1,3,0.086123
Tynan,Tynan,,m,4,4,5,0.325472,0.362802,68,4,0.014297,0,0.5,3,0.088266
arab 2,arab 2,,m,1,1,5,0.298701,0.315459,0,3,0.005422,0,0,0,0.020219
Mrs. Whistler,Mrs. Whistler,,f,4,4,4,0.367021,0.407005,68,4,0.014039,0,0.5,3,0.137211
Tiffany,Tiffany,,f,17,38,3,0.530769,0.601449,472.144444,3,0.053289,0,0.132353,18,0.520076
M,M,,m,4,8,4,0.415663,0.455314,1,1,0.013431,0,0.666667,4,0.176155
Saxby,Saxby,,m,10,10,3,0.469388,0.52657,118.5,4,0.030325,0,0.288889,13,0.405526
Tamper,Tamper,,f,4,4,4,0.433962,0.471014,1.65,3,0.012945,0,0.833333,5,0.226686
surgeon,surgeon,,m,3,3,4,0.420732,0.455314,1.75,2,0.010656,0,0.666667,2,0.187482
surgeon'a assiatant,surgeon'a assiatant,,m,2,2,4,0.410714,0.440821,0,2,0.007718,0,1,1,0.135019
