n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;40;102;1;0.667;0.686
3;Tiffany;f;17;38;0.366;0.518;0.194
4;Leiter;m;13;29;0.277;0.474;0.113
2;Blofeld;m;16;38;0.366;0.49;0.104
44;lab guards;n;2;2;0.01;0.416;0.082
7;Whyte;m;10;21;0.198;0.48;0.071
5;Kidd;m;8;22;0.208;0.462;0.063
6;Wint;m;8;22;0.208;0.462;0.063
26;Tynan;m;4;4;0.03;0.326;0.055
9;Saxby;m;10;10;0.089;0.462;0.049
8;Metz;m;8;14;0.129;0.453;0.04
18;Plenty;f;4;5;0.04;0.411;0.028
15;Blofeld 2;m;3;5;0.04;0.416;0.028
35;Maria;f;3;3;0.02;0.416;0.028
49;Franks;m;2;2;0.01;0.407;0.028
50;arab;m;2;2;0.01;0.407;0.028
27;Mrs. Whistler;f;4;4;0.03;0.362;0.028
20;dispatcher 1;m;2;4;0.03;0.329;0.028
12;agent 2;m;6;7;0.059;0.434;0.027
29;pilot;m;2;3;0.02;0.407;0.008
11;Shady;m;6;7;0.059;0.442;0.005
39;Klaus;m;3;3;0.02;0.411;0.004
17;Q;m;4;5;0.04;0.442;0.002
25;gangsters;n;3;4;0.03;0.421;0.002
40;dealer 2;m;3;3;0.02;0.414;0.001
10;M;m;4;8;0.069;0.411;0.000978
46;Jerry;m;2;2;0.01;0.326;0.000848
38;surgeon;m;3;3;0.02;0.414;0.000685
45;agent 3;m;2;2;0.01;0.35;0.000685
51;man on oil station;m;2;2;0.01;0.353;0.000646
28;Tamper;f;4;4;0.03;0.426;0.000646
16;scientist in lab;m;3;5;0.04;0.336;0.000391
22;policeman 1;m;3;4;0.03;0.426;0
23;policeman 2;m;3;4;0.03;0.426;0
14;Tom;m;3;6;0.05;0.424;0
24;Blofeld's men;n;3;4;0.03;0.416;0
21;Blofeld's man 1;m;3;4;0.03;0.414;0
34;Blofeld's man 2;m;3;3;0.02;0.414;0
33;Bamby;f;3;3;0.02;0.411;0
42;Non-Blofeld;m;2;2;0.01;0.411;0
13;Donald;m;3;6;0.05;0.407;0
36;Donald's assistant;m;3;3;0.02;0.407;0
19;Slumber;m;2;4;0.03;0.404;0
30;worker1;m;2;3;0.02;0.404;0
31;worker2;m;2;3;0.02;0.404;0
43;surgeon'a assiatant;m;2;2;0.01;0.404;0
61;Moneypenny;f;1;1;0;0.404;0
62;asian man;m;1;1;0;0.402;0
32;contest host;m;2;3;0.02;0.344;0
52;boy;m;2;2;0.01;0.344;0
67;man in the car;m;1;1;0;0.343;0
68;scientist;m;1;1;0;0.343;0
54;surgeon'a assiatants;n;1;1;0;0.33;0
58;Blofeld's man 3;m;1;1;0;0.33;0
47;agent 1;m;2;2;0.01;0.326;0
48;agents;n;2;2;0.01;0.326;0
37;Joe;m;3;3;0.02;0.323;0
55;Gamilton;m;1;1;0;0.323;0
59;agent 4;m;1;1;0;0.323;0
66;porter;m;1;1;0;0.317;0
63;guard;m;1;1;0;0.313;0
71;lab guard 1;m;1;1;0;0.296;0
72;lab guard 2;m;1;1;0;0.296;0
53;arab 2;m;1;1;0;0.295;0
57;governor;m;1;1;0;0.295;0
73;lab guard;m;1;1;0;0.295;0
65;man in casino;m;1;1;0;0.293;0
60;customs officer;m;1;1;0;0.29;0
70;dealer;m;1;1;0;0.29;0
64;african children;n;1;1;0;0.267;0
41;dispatcher 2;m;1;2;0.01;0.248;0
56;african worker 1;m;1;1;0;0.247;0
69;african worker 2;m;1;1;0;0.247;0
