n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;35;121;1;0.675;0.68
4;Dr. No;m;13;23;0.183;0.531;0.249
11;third beggar;m;5;11;0.083;0.52;0.235
3;Honey;f;13;44;0.358;0.385;0.122
17;someone 3;n;3;6;0.042;0.286;0.075
5;Leiter;m;4;22;0.175;0.409;0.073
7;Professor Dent;m;9;13;0.1;0.481;0.052
9;second beggar;m;5;12;0.092;0.491;0.04412303383
15;Potter;m;5;7;0.05;0.38;0.041
34;Dr. No's guard;m;3;3;0.017;0.43;0.038
35;1st operator;m;3;3;0.017;0.468;0.016
6;Pleydell-Smith;m;6;14;0.108;0.464;0.01
16;fotographer;f;4;7;0.05;0.306;0.003
22;Mary Prescott;f;6;6;0.042;0.306;0.003
31;operative 2;m;3;3;0.017;0.452;0.002
24;M;m;3;6;0.042;0.426;0.000566
21;operative 3;m;4;6;0.042;0.413;0.000377
40;guard;m;1;2;0.008;0.437;0
41;foreman of signals;m;2;2;0.008;0.437;0
8;first beggar;m;6;13;0.1;0.433;0
10;Pus-Feller;m;4;12;0.092;0.433;0
13;miss Taro;f;4;11;0.083;0.426;0
32;driver;m;3;3;0.017;0.426;0
33;Dr. No's waiter;m;3;3;0.017;0.426;0
29;sister Rose;f;4;4;0.025;0.423;0
36;second man;m;1;2;0.008;0.416;0
38;receptionist 2;f;1;2;0.008;0.416;0
39;man from MI-6;m;2;2;0.008;0.416;0
37;registrar;m;2;2;0.008;0.413;0
2;Quarrel;m;9;45;0.367;0.409;0
20;operative 4;f;4;6;0.042;0.409;0
42;foreman's assiatant;f;2;2;0.008;0.409;0
44;chauffeur;m;1;2;0.008;0.409;0
45;Chang;m;1;2;0.008;0.409;0
48;road worker;m;1;1;0;0.409;0
12;sister Lily;f;4;11;0.083;0.406;0
14;Strangways;m;8;8;0.058;0.406;0
43;croupier;m;2;2;0.008;0.406;0
46;Boothroyd;m;2;2;0.008;0.406;0
47;waiter;m;1;1;0;0.406;0
49;receptionist 1;f;1;1;0;0.406;0
50;houseguard;m;1;1;0;0.406;0
26;Moneypenny;f;2;5;0.033;0.349;0
30;operative 1;m;4;4;0.025;0.349;0
28;Sylvia;f;2;4;0.025;0.349;0
51;first guard;m;1;1;0;0.349;0
23;main operative;m;4;6;0.042;0.344;0
25;Duff;m;3;6;0.042;0.344;0
27;first man;m;4;5;0.033;0.344;0
53;another man;m;1;1;0;0.302;0
52;chinese negro;m;1;1;0;0.28;0
18;someone 2;n;3;6;0.042;0.224;0
19;someone 1;n;3;6;0.042;0.224;0
