n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;22;80;1;0.712;0.613
5;Xenia;f;12;26;0.316;0.569;0.211
3;Alec;m;11;36;0.443;0.569;0.203
2;Natalia;f;11;41;0.506;0.561;0.148
4;Ourumov;m;9;28;0.342;0.544;0.134
12;Valentin;m;3;5;0.051;0.44;0.107
8;M;f;6;11;0.127;0.474;0.066
9;Wade;m;3;11;0.127;0.446;0.003
13;Q;m;4;4;0.038;0.44;0.002
6;Boris;m;4;13;0.152;0.493;0
7;soldiers;n;4;13;0.152;0.487;0
11;Mishkin;m;3;6;0.063;0.463;0
15;Admiral;m;2;4;0.038;0.446;0
17;Dealer;m;2;2;0.013;0.446;0
18;barman;m;2;2;0.013;0.446;0
14;Moneypenny;f;3;4;0.038;0.435;0
10;Tanner;m;2;7;0.076;0.43;0
23;man on ship;m;1;1;0;0.42;0
24;pilot;m;1;1;0;0.42;0
25;soldiers 2;n;1;1;0;0.42;0
30;Caroline;f;1;1;0;0.42;0
33;Valet;m;1;1;0;0.42;0
34;soldier 1;m;1;1;0;0.42;0
16;helicopter pilot;m;2;2;0.013;0.385;0
19;captain;m;2;2;0.013;0.385;0
20;pilot 1;m;2;2;0.013;0.37;0
21;pilot 2;m;2;2;0.013;0.37;0
22;scientist;m;1;1;0;0.366;0
26;base staff;m;1;1;0;0.366;0
27;machinist;m;1;1;0;0.366;0
28;soldier;m;1;1;0;0.366;0
29;Anna;f;1;1;0;0.363;0
36;manager;m;1;1;0;0.363;0
37;driver;m;1;1;0;0.356;0
38;major;m;1;1;0;0.356;0
35;prime-minister;m;1;1;0;0.325;0
31;Dimitri;m;1;1;0;0.308;0
32;Irina;f;1;1;0;0.308;0
