Id,Label,timeset,gender,degree,weighted degree,modularity_class,componentnumber,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Hai Fat,Hai Fat,,m,10,12,2,0,0.266667,12,0.354876,3,0.524752,0.578616,96.883333
Hai Fat assiatant,Hai Fat assiatant,,m,2,2,2,0,1,1,0.094752,4,0.381295,0.410377,0
Hai Fat guard,Hai Fat guard,,m,2,2,2,0,1,1,0.159382,3,0.46087,0.484277,0
teacher,teacher,,m,5,5,0,0,0.2,2,0.184271,3,0.481818,0.518868,104.333333
James Bond,James Bond,,m,40,117,1,0,0.064103,50,1,2,0.80303,0.877358,1069.3
agent 002,agent 002,,n,3,3,1,0,0.666667,2,0.175699,3,0.456897,0.487421,0.5
Lazar,Lazar,,m,3,3,2,0,1,3,0.198796,3,0.477477,0.503145,0
Scaramanga,Scaramanga,,m,13,39,2,0,0.24359,19,0.451702,3,0.552083,0.613208,171.1
M,M,,m,9,19,1,0,0.416667,15,0.357029,3,0.495327,0.553459,14.5
Q,Q,,m,6,14,1,0,0.733333,11,0.302033,3,0.481818,0.525157,2.166667
Saida,Saida,,f,2,3,1,0,1,1,0.138431,3,0.452991,0.477987,0
fighter,fighter,,m,1,1,0,0,0,0,0.022675,4,0.32716,0.34434,0
Ahmed,Ahmed,,m,3,4,3,0,1,3,0.155165,3,0.456897,0.487421,0
man 1,man 1,,m,3,4,3,0,1,3,0.155165,3,0.456897,0.487421,0
man 2,man 2,,m,3,5,3,0,1,3,0.155165,3,0.456897,0.487421,0
Andrea,Andrea,,f,4,13,2,0,0.833333,5,0.244479,3,0.481818,0.512579,0.333333
Nick,Nick,,m,10,29,2,0,0.422222,19,0.44071,3,0.535354,0.584906,43.883333
Gibson,Gibson,,m,3,4,4,0,0.666667,2,0.121658,4,0.386861,0.426101,3.75
Hip,Hip,,m,14,41,1,0,0.252747,23,0.511637,3,0.540816,0.613208,148.966667
Goodnight,Goodnight,,f,6,24,1,0,0.666667,10,0.326748,3,0.509615,0.544025,22
Kra,Kra,,m,2,2,2,0,1,1,0.090584,4,0.360544,0.388365,0
fighters,fighters,,n,5,6,1,0,0.7,7,0.266556,3,0.486239,0.522013,4.7
niece 1,niece 1,,f,4,15,1,0,1,6,0.23499,3,0.473214,0.506289,0
niece 2,niece 2,,f,4,15,1,0,1,6,0.23499,3,0.473214,0.506289,0
J.W,J.W,,m,7,11,1,0,0.333333,7,0.300127,3,0.504762,0.54717,105.25
fighter 1,fighter 1,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
fighter 2,fighter 2,,m,2,2,0,0,1,1,0.140191,3,0.46087,0.484277,0
ticket collector,ticket collector,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
killer,killer,,,2,3,2,0,1,1,0.103615,4,0.365517,0.394654,0
fighter1,fighter1,,m,1,1,0,0,0,0,0.022675,4,0.32716,0.34434,0
Cheew Mee,Cheew Mee,,f,2,3,2,0,1,1,0.159382,3,0.46087,0.484277,0
Colthorpe,Colthorpe,,m,4,5,1,0,0.833333,5,0.215689,3,0.46087,0.496855,0.333333
Tanner,Tanner,,m,3,3,1,0,1,3,0.184322,3,0.456897,0.487421,0
Frazier,Frazier,,m,4,4,1,0,1,6,0.253065,3,0.473214,0.506289,0
barman,barman,,f,2,2,4,0,1,1,0.074137,4,0.355705,0.386792,0
HK policeman 1,HK policeman 1,,m,1,2,1,0,0,0,0.035181,4,0.33758,0.355346,0
Hai Fat people,Hai Fat people,,n,1,1,2,0,0,0,0.041866,4,0.346405,0.366352,0
sumo wrestler 1,sumo wrestler 1,,m,4,7,2,0,1,6,0.237789,3,0.473214,0.506289,0
sumo wrestler 2,sumo wrestler 2,,m,4,7,2,0,1,6,0.237789,3,0.473214,0.506289,0
agent MI-6,agent MI-6,,m,4,4,1,0,1,6,0.253065,3,0.473214,0.506289,0
chineese policeman,chineese policeman,,m,1,1,1,0,0,0,0.059172,4,0.353333,0.377358,0
wife,wife,,f,1,1,1,0,0,0,0.035181,4,0.33758,0.355346,0
Moneypenny,Moneypenny,,f,2,3,1,0,1,1,0.158991,3,0.452991,0.477987,0
Naval,Naval,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
boy,boy,,m,2,2,5,0,0,0,0.120596,3,0.456897,0.481132,52
desk klerk,desk klerk,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
taxi driver,taxi driver,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
taxi driver Hong Kong,taxi driver Hong Kong,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
valet 1,valet 1,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
valet 2,valet 2,,f,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
waiter,waiter,,m,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
woman,woman,,f,1,1,1,0,0,0,0.117516,3,0.449153,0.468553,0
chinese military,chinese military,,m,1,1,2,0,0,0,0.052886,4,0.358108,0.378931,0
tourist,tourist,,f,1,1,5,0,0,0,0.01494,4,0.315476,0.330189,0
