n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;46;181;1;0.795;0.522
2;Sanchez;m;27;124;0.683;0.62;0.158
10;Krest;m;18;31;0.167;0.564;0.139
3;Pam;f;20;66;0.361;0.559;0.104
9;Lupe;f;11;34;0.183;0.544;0.03
19;Killifer;m;9;15;0.078;0.521;0.023
14;Sharky;m;10;23;0.122;0.488;0.022
15;Q;m;5;23;0.122;0.488;0.019
6;Dario;m;13;42;0.228;0.534;0.018
5;Truman-Lodge;m;12;45;0.244;0.517;0.016
4;Leiter;m;12;62;0.339;0.534;0.015
18;Della;f;6;18;0.094;0.47;0.014
7;Heller;m;13;37;0.2;0.549;0.014
29;M;m;5;5;0.022;0.463;0.013
17;Sanchez's men;n;9;19;0.1;0.517;0.01
55;crewman 2;m;2;2;0.006;0.453;0.007
8;Hawkins;m;10;36;0.194;0.508;0.005
31;captain;m;3;5;0.022;0.411;0.005
20;Kwang;m;7;14;0.072;0.492;0.003
43;truck driver 1;m;3;3;0.011;0.473;0.003
12;Perez;m;8;25;0.133;0.525;0.002
16;Braun;m;8;20;0.106;0.525;0.002
24;casino manger;m;5;6;0.028;0.492;0.002
41;diver;m;3;3;0.011;0.473;0.002
11;Mullens;m;8;28;0.15;0.5;0.001
50;crewman 1;m;2;2;0.006;0.367;0.001
13;Kwang group;n;7;25;0.133;0.496;0.000372
22;Bill;m;4;6;0.028;0.481;0.000347
53;guard;m;2;2;0.006;0.419;0.000328
54;mechanic;m;2;2;0.006;0.419;0.000328
38;M's men;n;3;4;0.017;0.456;0.000289
45;Lupe's lover;m;3;3;0.011;0.38;0.000223
36;Joe;m;2;4;0.017;0.383;0.000183
27;Loti;f;4;5;0.022;0.456;0.000165
32;driver;m;3;5;0.022;0.397;0.000165
28;Lopez;m;5;5;0.022;0.488;0.0000827
64;duty officer;m;1;1;0;1;0
65;radar operator;m;1;1;0;1;0
23;chemist;m;5;6;0.028;0.488;0
26;pilots;n;5;6;0.028;0.481;0
21;Montolongo;m;3;9;0.044;0.47;0
25;dealer;m;3;6;0.028;0.47;0
30;Montolongo's assistant girl;f;3;5;0.022;0.47;0
33;pilot 1;m;3;5;0.022;0.47;0
34;pilot 2;m;3;5;0.022;0.47;0
44;truck driver 2;m;2;3;0.011;0.47;0
46;second guard;m;3;3;0.011;0.47;0
37;crew;n;2;4;0.017;0.466;0
40;assistant manager;f;2;3;0.011;0.466;0
49;girl waiter;f;2;2;0.006;0.466;0
39;Fallon;m;3;3;0.011;0.453;0
47;Rasmussen;m;2;2;0.006;0.453;0
48;doctor;m;2;2;0.006;0.453;0
57;barman;f;1;1;0;0.446;0
58;concierge;m;1;1;0;0.446;0
59;woman registrator;f;1;1;0;0.446;0
51;dock guard;m;2;2;0.006;0.4;0
56;divers;n;2;2;0.006;0.395;0
63;waiter;m;1;1;0;0.385;0
42;captain's assistant;m;2;3;0.011;0.371;0
60;capitan 2;m;1;1;0;0.363;0
61;radio operator 2;m;1;1;0;0.363;0
62;captain 2;m;1;1;0;0.36;0
35;uncle;m;2;4;0.017;0.337;0
52;Moneypenny;f;2;2;0.006;0.335;0
