n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;30;85;1;0.746;0.671
4;Leiter;m;11;24;0.274;0.53;0.129
11;M;m;5;7;0.071;0.4731;0.128
9;Pepper;m;7;11;0.119;0.4889;0.121
3;Kananga;m;10;33;0.381;0.494;0.066
5;Tee-Hee;m;11;22;0.25;0.506;0.063
8;Rosie;f;5;12;0.131;0.4783;0.048
6;Adam;m;10;13;0.143;0.5;0.048
16;Strutter;m;5;6;0.06;0.4783;0.046
2;Solitaire;f;13;37;0.429;0.537;0.046
40;Dawes;m;2;2;0.012;0.328;0.0455
20;Charlie;m;3;4;0.036;0.4583;0.018
35;salesgirl;f;2;2;0.012;0.44;0.014
31;Bell;f;2;2;0.012;0.44;0.012
34;black gentleman;m;2;2;0.012;0.338;0.004
33;Hamilton;m;2;2;0.012;0.331;0.004
19;Moneypenny;f;3;5;0.048;0.4536;0.002
29;Baines;m;3;3;0.024;0.4536;0.002
32;Bleeker;m;2;2;0.012;0.355;0.001
17;driver;m;4;6;0.06;0.4583;0.001
39;Kananga's man 1;m;2;2;0.012;0.349;0.000881
36;Kananga's man 2;m;2;2;0.012;0.338;0.000881
7;Quarrel;m;4;13;0.143;0.4632;0.000529
30;man with snake;m;3;3;0.024;0.44;0.000529
18;performer;m;4;6;0.06;0.4583;0
21;Kananga's man 3;m;4;4;0.036;0.4583;0
10;Kananga's people;n;5;7;0.071;0.4536;0
12;Whisper;m;3;7;0.071;0.4536;0
13;bride;f;5;7;0.071;0.4536;0
14;groom;m;5;7;0.071;0.4536;0
15;priest;m;5;7;0.071;0.4536;0
25;waiter;m;2;3;0.024;0.449;0
27;pilot;m;3;3;0.024;0.4444;0
28;police;n;3;3;0.024;0.4444;0
24;girl;f;2;3;0.024;0.4356;0
42;Tailor;m;1;1;0;0.431;0
43;official;m;1;1;0;0.431;0
38;capitan;m;2;2;0.012;0.364;0
23;Billy;m;2;3;0.024;0.3548;0
37;Leiter's man;m;1;2;0.012;0.349;0
44;white-coated worker;m;1;1;0;0.338;0
22;Toby;m;2;4;0.036;0.3333;0
26;trooper;m;2;3;0.024;0.3333;0
41;Boatman;m;1;1;0;0.326;0
