Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,pageranks,clustering,triangles,eigencentrality
Feyador,Feyador,,m,4,6,4,0.39726,0.438218,21.166667,0.073304,0.073303,0,0,0.01584,0.166667,1,0.153102
warden,warden,,m,4,4,3,0.449612,0.485632,7.7,0.119928,0.119932,2,0,0.015209,0.666667,4,0.248385
Kara,Kara,,f,18,60,3,0.574257,0.646552,208.329762,0.330535,0.330529,2,0,0.064038,0.189542,29,0.68234
Koskov,Koskov,,m,20,47,3,0.597938,0.66954,395.322619,0.330536,0.330537,0,0,0.072648,0.157895,30,0.687451
Necros,Necros,,m,14,24,3,0.527273,0.597701,207.442857,0.240472,0.240476,0,0,0.052563,0.164835,15,0.500056
Whitaker,Whitaker,,m,6,12,3,0.491525,0.528736,5.96746,0.190088,0.190092,0,0,0.021233,0.8,12,0.391042
soldier,soldier,,m,4,6,4,0.42029,0.461207,0,0.116888,0.116888,0,0,0.014695,1,6,0.238247
Pushkin,Pushkin,,m,7,16,3,0.479339,0.525862,16.253968,0.182833,0.182835,2,0,0.024986,0.571429,12,0.376055
M,M,,m,17,27,3,0.557692,0.632184,304.123413,0.273111,0.273112,1,0,0.063758,0.147059,20,0.571889
Q,Q,,m,5,8,3,0.495726,0.525862,59.642857,0.135625,0.135628,2,0,0.02075,0.5,5,0.283684
agent 1,agent 1,,m,2,2,4,0.3625,0.392241,0,0.034809,0.034809,1,0,0.009966,1,1,0.07438
agent 2,agent 2,,m,2,2,4,0.3625,0.392241,0,0.034809,0.034809,1,0,0.009966,1,1,0.07438
agent 3,agent 3,,m,2,2,4,0.369427,0.399425,5.833333,0.037578,0.037577,1,0,0.010335,0,0,0.080217
agent 4,agent 4,,m,3,3,4,0.389262,0.426724,2.089286,0.065459,0.065458,1,0,0.012447,0.666667,2,0.137657
agent 5,agent 5,,m,3,3,4,0.389262,0.426724,2.089286,0.065459,0.065458,1,0,0.012447,0.666667,2,0.137657
guard 1,guard 1,,m,3,3,3,0.467742,0.494253,2.089286,0.11235,0.112352,1,0,0.012154,0.666667,2,0.234284
guard 2,guard 2,,m,2,2,3,0.446154,0.471264,0,0.085165,0.085168,1,0,0.008964,1,1,0.1778
Shah,Shah,,m,8,17,3,0.487395,0.537356,40.766667,0.176796,0.176799,2,0,0.028646,0.357143,10,0.367506
Snow Leopard,Snow Leopard,,m,3,3,4,0.405594,0.441092,2.5,0.084537,0.084536,0,0,0.011862,0.333333,1,0.175237
James Bond,James Bond,,m,35,107,2,0.716049,0.801724,922.401587,0.480283,0.480266,2,0,0.133243,0.077311,46,1
Pushkin's man,Pushkin's man,,m,3,4,3,0.42963,0.462644,0,0.084514,0.084516,2,0,0.012295,1,3,0.174762
Rubavitch,Rubavitch,,f,3,7,3,0.42963,0.462644,0,0.084514,0.084516,2,0,0.012295,1,3,0.174762
afghans,afghans,,n,4,4,3,0.449612,0.485632,38.15,0.114036,0.11404,2,0,0.015778,0.5,3,0.236645
arab police,arab police,,n,1,1,3,0.42029,0.442529,0,0.054291,0.054294,2,0,0.005777,0,0,0.112932
dancer,dancer,,m,1,1,3,0.42029,0.442529,0,0.054291,0.054294,2,0,0.005777,0,0,0.112932
killer,killer,,m,3,3,3,0.432836,0.465517,67.541667,0.059296,0.0593,1,0,0.016243,0,0,0.126115
militia,militia,,n,3,3,3,0.43609,0.468391,0,0.103338,0.103341,2,0,0.01228,1,3,0.212907
millitary men,millitary men,,n,3,3,3,0.43609,0.468391,0,0.103338,0.103341,2,0,0.01228,1,3,0.212907
KGB agents,KGB agents,,n,2,2,4,0.391892,0.420977,0,0.064551,0.06455,0,0,0.008819,1,1,0.133855
Pushkin's men,Pushkin's men,,n,1,1,4,0.367089,0.389368,0,0.037364,0.037365,2,0,0.005566,0,0,0.075985
Saunders,Saunders,,m,3,10,3,0.471545,0.497126,0,0.118841,0.118844,2,0,0.012053,1,3,0.246787
girl 1,girl 1,,f,2,2,4,0.379085,0.406609,0,0.042128,0.042128,0,0,0.00979,1,1,0.088254
