n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;28;90;1;0.755;0.589
2;Drax;m;18;42;0.461;0.606;0.219
4;Laws;m;9;19;0.202;0.519;0.146
16;Scott;m;4;4;0.034;0.46;0.089
5;M;m;7;19;0.202;0.5;0.067
6;Q;m;6;13;0.135;0.476;0.055
13;Chang;m;4;8;0.079;0.471;0.045
29;Drax'crew;n;2;2;0.011;0.351;0.045
3;Holly;f;6;25;0.27;0.513;0.025
7;Gray;m;5;13;0.135;0.488;0.018
41;pilot 1;m;1;1;0;1;0
42;pilot 2;m;1;1;0;1;0
9;Delatie;f;6;8;0.079;0.476;0
10;Delimateo;f;6;8;0.079;0.476;0
11;Lybinski;f;6;8;0.079;0.476;0
12;Victoria;f;6;8;0.079;0.476;0
14;4 women;f;6;6;0.056;0.476;0
8;Corinne;f;3;9;0.09;0.46;0
15;hostess;f;3;5;0.045;0.46;0
17;Moneypenny;f;3;4;0.034;0.46;0
18;pilot with moustache;m;3;4;0.034;0.46;0
20;Cavendish;m;3;3;0.022;0.46;0
22;false doctor;m;3;3;0.022;0.46;0
24;Manuela;f;2;3;0.022;0.455;0
30;hunter;m;2;2;0.011;0.455;0
32;killers 2;n;2;2;0.011;0.455;0
23;Franco;m;2;3;0.022;0.44;0
25;scientist 1;m;2;3;0.022;0.44;0
26;scientist 2;m;2;3;0.022;0.44;0
31;killers 1;n;2;2;0.011;0.44;0
36;blondie woman;f;1;1;0;0.435;0
37;valet;m;1;1;0;0.435;0
27;man 1;m;2;3;0.022;0.385;0
28;man 2;m;2;3;0.022;0.385;0
19;operator;m;1;4;0.034;0.381;0
21;american diplomats;m;3;3;0.022;0.345;0
33;Laws's girlfriend;f;1;2;0.011;0.345;0
38;minister;m;1;1;0;0.336;0
39;Q's assistant;m;1;1;0;0.325;0
34;instructor;m;1;1;0;0.323;0
35;Gogol;m;1;1;0;0.317;0
40;american astranaout 2;m;1;1;0;0.317;0
43;american soldiers;n;1;1;0;0.261;0
