n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;45;95;1;0.72;0.692
5;Orlov;m;12;21;0.213;0.528;0.137
3;Octopussy;f;15;40;0.415;0.528;0.121
2;Kamal;m;20;55;0.574;0.549;0.118
14;Gogol;m;7;8;0.074;0.387;0.092
6;M;m;9;17;0.17;0.486;0.057
4;Gobinda;m;14;40;0.415;0.523;0.044
26;wife;f;3;3;0.021;0.438;0.039
26;ambassador;m;3;3;0.021;0.327;0.03
38;german police;n;2;2;0.011;0.427;0.03
10;Twin 1;m;8;12;0.117;0.493;0.029
9;Q;m;9;12;0.117;0.465;0.024
19;agent 009;m;4;4;0.032;0.376;0.02
17;minister;m;4;7;0.064;0.459;0.018
16;Twin 2;m;7;7;0.064;0.504;0.015
26;indian soldiers;n;3;3;0.021;0.444;0.01
15;general;m;5;8;0.074;0.459;0.009
26;Penelopa;f;3;3;0.021;0.444;0.006
19;Kamal's men;m;4;4;0.032;0.45;0.006
7;Magda;f;6;16;0.16;0.465;0.003
11;Sadruddin;m;5;12;0.117;0.453;0.002
26;Octopussy's girls;f;3;3;0.021;0.37;0.002
8;Sadruddin's assistant;m;6;16;0.16;0.447;0.002
12;killer;m;6;11;0.106;0.465;0.001
38;russian soldiers;n;2;2;0.011;0.351;0.000814
26;Moneypenny;f;3;3;0.021;0.342;0.000241
13;killers;n;5;9;0.085;0.462;0
33;soviet soldiers;n;2;3;0.021;0.447;0
18;Fanning;m;3;5;0.043;0.444;0
24;Clive;m;3;4;0.032;0.441;0
38;Karl;m;2;2;0.011;0.441;0
33;Gwendoline;f;2;3;0.021;0.438;0
38;auctioneer;m;2;2;0.011;0.438;0
19;Q's assistance 1;m;4;4;0.032;0.435;0
19;Q's assistance 2;f;4;4;0.032;0.435;0
19;Q's assistance 3;f;4;4;0.032;0.435;0
24;murders;n;3;4;0.032;0.432;0
38;husband;m;2;2;0.011;0.429;0
33;Bianca;f;2;3;0.021;0.424;0
38;soldiers;n;2;2;0.011;0.424;0
38;photographer;f;2;2;0.011;0.424;0
50;driver agent;m;1;1;0;0.421;0
50;Colonel;m;1;1;0;0.421;0
50;assistant manager;f;1;1;0;0.421;0
50;german woman;f;1;1;0;0.421;0
50;man;m;1;1;0;0.421;0
50;manager;m;1;1;0;0.421;0
50;sergeant;m;1;1;0;0.421;0
50;soldier;m;1;1;0;0.421;0
50;soviet soldier;m;1;1;0;0.421;0
50;tourist;m;1;1;0;0.421;0
50;waiter;m;1;1;0;0.421;0
26;Lenkin;m;3;3;0.021;0.385;0
38;Octopussy women;f;2;2;0.011;0.368;0
33;Mufti;m;2;3;0.021;0.364;0
38;chairman;m;2;2;0.011;0.36;0
33;Aide;m;2;3;0.021;0.358;0
50;servent;m;1;1;0;0.356;0
38;Soldier-instructor;m;2;2;0.011;0.354;0
50;Midge;f;1;1;0;0.347;0
50;Octopussy's girl;f;1;1;0;0.347;0
50;customs officers;n;1;1;0;0.347;0
50;woman;f;1;1;0;0.347;0
50;american soldiers;n;1;1;0;0.3;0
38;Borchoi;m;2;2;0.011;0.282;0
38;Lenski;m;2;2;0.011;0.282;0
50;Head Vopo;m;1;1;0;0.28;0
50;man 1;m;1;1;0;0.247;0
