n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
43;Gumbold;m;1;1;0;1;0
44;clerk;m;1;1;0;1;0
1;James Bond;m;43;176;1;0.939;0.65
2;Blofeld;m;20;55;0.309;0.63;0.044
3;Irma;f;18;126;0.714;0.597;0.018
6;Tracy;f;14;54;0.303;0.582;0.03472222222
17;Draco;m;11;43;0.24;0.568;0.09
4;Nancy;f;14;127;0.72;0.568;0
5;Ruby;f;14;128;0.726;0.568;0
7;the american girl;f;14;125;0.709;0.568;0
8;the australian girl;f;14;125;0.709;0.568;0
9;the chinese girl;f;14;125;0.709;0.568;0
10;the english girl;f;14;125;0.709;0.568;0
11;the german girl;f;14;125;0.709;0.568;0
12;the indian girl;f;14;125;0.709;0.568;0
13;the irish girl;f;14;125;0.709;0.568;0
14;the israeli girl;f;14;125;0.709;0.568;0
15;the jamaican girl;f;14;125;0.709;0.568;0
16;the scandinavian girl;f;14;125;0.709;0.568;0
21;M;m;6;15;0.08;0.535;0.044
20;Che Che;m;6;13;0.069;0.529;0.002
22;man 3;m;6;17;0.091;0.529;0.002
18;Grunther;m;7;23;0.126;0.523;0.002
23;man 2;m;5;12;0.063;0.523;0.000665
19;Blofeld's guards;n;6;17;0.091;0.517;0.001
24;Olympe;f;4;12;0.063;0.517;0.000222
25;Q;m;4;7;0.034;0.511;0.001
32;Draco's men;n;3;6;0.029;0.511;0.000665
26;card player 1;m;4;4;0.017;0.505;0
27;card player 2;f;4;4;0.017;0.505;0
28;dealer;m;4;4;0.017;0.505;0
29;driver;m;4;4;0.017;0.505;0
33;Moneypenny;f;3;12;0.063;0.505;0
34;man 1;m;3;3;0.011;0.5;0.000443
30;James Bond's assistant;m;3;4;0.017;0.5;0
31;Blofeld's guard;m;3;5;0.023;0.5;0
37;Hammond;m;2;2;0.006;0.5;0
35;Bray;m;2;3;0.011;0.495;0
36;Bray's assistant;m;2;2;0.006;0.495;0
38;receptionist;m;2;3;0.011;0.495;0
39;Raphael;m;2;3;0.011;0.495;0
40;waiter;m;2;3;0.011;0.495;0
45;barman;m;1;1;0;0.489;0
46;hotel clerk;m;1;1;0;0.489;0
47;policeman;m;1;1;0;0.489;0
48;porter;m;1;1;0;0.489;0
41;dispatcher 1;m;1;1;0;0.365;0
42;dispatcher 2;m;1;1;0;0.365;0
49;minister;m;1;1;0;0.351;0
