n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;28;89;1;0.818;0.667
2;M;f;16;79;0.886;0.621;0.122
18;Patrice;m;4;5;0.045;0.5;0.11
6;Silva;m;13;22;0.239;0.581;0.087
4;Moneypenny;f;13;45;0.5;0.61;0.077
10;Q;m;6;12;0.125;0.522;0.056
3;Tanner;m;12;46;0.511;0.581;0.035
5;Mallory;m;10;29;0.318;0.563;0.01
11;Severine;f;6;10;0.102;0.5;0.009
7;Dowar;f;9;22;0.239;0.545;0.006
8;ministers;n;9;19;0.205;0.545;0.006
13;Silva's men;m;5;8;0.08;0.514;0.005
14;chinese man 3;m;5;7;0.068;0.493;0.004
19;capitan;m;3;4;0.034;0.468;0.000529
12;Silva's men in police form;n;8;8;0.08;0.537;0
9;Kincade;m;4;16;0.17;0.507;0
20;Ronson;m;3;3;0.023;0.493;0
15;chinese man 1;m;4;6;0.057;0.474;0
15;chinese man 2;m;4;6;0.057;0.474;0
23;husband;m;2;2;0.011;0.462;0
23;wife;f;2;2;0.011;0.462;0
25;barman;m;1;1;0;0.456;0
25;men;m;1;1;0;0.456;0
25;woman;f;1;1;0;0.456;0
25;agent MI6;m;1;1;0;0.456;0
25;doctor Hall;m;1;1;0;0.456;0
25;floor manager;m;1;1;0;0.456;0
25;subway worker;f;1;1;0;0.456;0
25;cashier;f;1;1;0;0.456;0
17;inquiry board member 1;m;5;5;0.045;0.424;0
20;Vanessa;f;3;3;0.023;0.414;0
20;agent MI6 2;m;3;3;0.023;0.404;0
25;guard;m;1;1;0;0.387;0
25;policeman;m;1;1;0;0.371;0
25;Q assistant;m;1;1;0;0.346;0
25;chinese guard;m;1;1;0;0.336;0
25;man in yellow;m;1;1;0;0.336;0
