n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;36;84;1;0.81;0.63
3;Blofeld;m;21;34;0.398;0.618;0.197
5;Q;m;13;29;0.337;0.553;0.131
8;C;m;10;16;0.181;0.553;0.058
2;Madeleine;f;11;40;0.47;0.553;0.041
4;M;m;9;31;0.361;0.547;0.012
9;Hinx;m;8;12;0.133;0.522;0.086
10;killer 5;m;9;11;0.12;0.522;0.004
10;killer 6;m;9;11;0.12;0.522;0.004
6;Moneypenny;f;8;24;0.277;0.516;0.043
7;Tanner;m;6;18;0.205;0.5;0
14;Sciarra;m;5;6;0.06;0.49;0.006
12;Butler;m;5;7;0.072;0.49;0.000925
13;killer 1;m;4;7;0.072;0.485;0.001
17;killer 2;m;4;6;0.06;0.485;0.001
22;Blofeld's men;n;3;3;0.024;0.48;0
22;White;m;3;3;0.024;0.48;0
22;guard 1;m;3;3;0.024;0.48;0
22;guard 2;m;3;3;0.024;0.48;0
14;killer 7;m;5;6;0.06;0.475;0
14;killer 8;m;5;6;0.06;0.475;0
27;barman;m;2;3;0.024;0.475;0
28;Blofeld's man 1;m;2;2;0.012;0.475;0
28;Blofeld's man 2;m;2;2;0.012;0.475;0
28;guard;m;2;2;0.012;0.475;0
28;killer 3;m;2;2;0.012;0.475;0
18;Lucia;f;4;5;0.048;0.465;0.000617
28;chauffeur;m;2;2;0.012;0.461;0
28;waiter;m;2;2;0.012;0.461;0
28;pilot;m;2;2;0.012;0.456;0
28;suited man;m;2;2;0.012;0.456;0
38;italien man;m;1;1;0;0.452;0
38;Estrella;f;1;1;0;0.452;0
38;janitor;m;1;1;0;0.452;0
38;mouse;n;1;1;0;0.452;0
38;security guard;m;1;1;0;0.452;0
38;steward;m;1;1;0;0.452;0
22;killer 4;m;3;3;0.024;0.42;0
19;Moreau;m;4;4;0.036;0.405;0.008
20;bald man 1;m;3;4;0.036;0.392;0.002
20;bald man 2;m;3;4;0.036;0.392;0.002
28;Vogel;f;2;2;0.012;0.392;0
38;Blofeld's assistant;m;1;1;0;0.385;0
38;Q's assistant 1;m;1;1;0;0.359;0
38;Chairman;m;1;1;0;0.359;0
38;Q's assistant;m;1;1;0;0.359;0
28;Gerra;m;2;2;0.012;0.351;0
38;boyfriend;m;1;1;0;0.343;0
