n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;35;107;1;0.716;0.558
3;Koskov;m;20;47;0.434;0.598;0.239
4;M;m;17;27;0.245;0.558;0.184
2;Kara;f;18;60;0.557;0.574;0.126
5;Necros;m;14;24;0.217;0.527;0.125
24;killer;m;3;3;0.019;0.433;0.041
12;Q;m;5;8;0.066;0.496;0.036
25;Rosika;f;3;3;0.019;0.46;0.034
6;Shah;m;8;17;0.151;0.487;0.025
21;afghans;n;4;4;0.028;0.45;0.023
16;Feyador;m;4;6;0.047;0.397;0.013
7;Pushkin;m;7;16;0.142;0.479;0.01
22;warden;m;4;4;0.028;0.45;0.005
8;Whitaker;m;6;12;0.104;0.492;0.004
34;agent 3;m;2;2;0.009;0.369;0.004
9;secretary;m;5;10;0.085;0.5;0.002
26;Snow Leopard;m;3;3;0.019;0.406;0.002
29;guard 1;m;3;3;0.019;0.468;0.001
27;agent 4;m;3;3;0.019;0.389;0.001
28;agent 5;m;3;3;0.019;0.389;0.001
35;soviet soldiers;n;2;2;0.009;0.33;0.000302
11;minister of defence;m;4;10;0.085;0.487;0
10;Saunders;m;3;10;0.085;0.472;0
18;Moneypenny;f;3;6;0.047;0.453;0
38;guard 2;m;2;2;0.009;0.446;0
30;militia;n;3;3;0.019;0.436;0
31;millitary men;n;3;3;0.019;0.436;0
42;austrian custom officer;m;2;2;0.009;0.433;0
43;man in park;m;2;2;0.009;0.433;0
44;man in shooting;m;2;2;0.009;0.433;0
45;policeman 1;m;2;2;0.009;0.433;0
13;Rubavitch;f;3;7;0.057;0.43;0
23;Pushkin's man;m;3;4;0.028;0.43;0
14;Ava;f;3;7;0.057;0.426;0
15;Liz;f;3;7;0.057;0.426;0
19;Leiter;m;3;5;0.038;0.426;0
17;soldier;m;4;6;0.047;0.42;0
47;arab police;n;1;1;0;0.42;0
48;dancer;m;1;1;0;0.42;0
51;Ganz;m;1;1;0;0.42;0
52;custom officer;m;1;1;0;0.42;0
53;taxi driver;m;1;1;0;0.42;0
54;young woman;f;1;1;0;0.42;0
20;Gogol;m;3;5;0.038;0.411;0
39;KGB agents;n;2;2;0.009;0.392;0
46;custom officer 1;m;2;2;0.009;0.392;0
32;pilot 1;m;2;3;0.019;0.379;0
33;pilot 2;m;2;3;0.019;0.379;0
40;girl 1;f;2;2;0.009;0.379;0
41;girl 2;f;2;2;0.009;0.379;0
49;Pushkin's men;n;1;1;0;0.367;0
36;agent 1;m;2;2;0.009;0.363;0
37;agent 2;m;2;2;0.009;0.363;0
55;MI-6 agents;n;1;1;0;0.36;0
56;chef;m;1;1;0;0.347;0
57;milkman;m;1;1;0;0.347;0
58;Q's assistant;m;1;1;0;0.333;0
50;gasworks supervisor;m;1;1;0;0.317;0
59;soldier 1;m;1;1;0;0.304;0
