n;name;gender;degree;weighted degree;normolized weighted degree;closeness centrality;betweenness centrality
1;James Bond;m;40;117;1;0.803;0.758
3;Scaramanga;m;13;39;0.328;0.552;0.123
2;Hip;m;14;41;0.345;0.541;0.107
16;teacher;m;5;5;0.034;0.486;0.077
12;J.W;m;7;11;0.086;0.505;0.076
11;Hai Fat;m;10;12;0.095;0.525;0.07
31;boy;m;2;2;0.009;0.457;0.038
4;Nick;m;10;29;0.241;0.535;0.032
5;Goodnight;f;6;24;0.198;0.515;0.019
6;M;m;9;19;0.155;0.505;0.014
15;fighters;n;5;6;0.043;0.5;0.013
19;Gibson;m;3;4;0.026;0.387;0.003
9;Q;m;6;14;0.112;0.482;0.002
24;agent 002;n;3;3;0.017;0.457;0.000363
10;Andrea;f;4;13;0.103;0.482;0.000242
17;Colthorpe;m;4;5;0.034;0.461;0.000242
25;Lazar;m;3;3;0.017;0.477;0
7;niece 1;f;4;15;0.121;0.473;0
8;niece 2;f;4;15;0.121;0.473;0
13;sumo wrestler 1;m;4;7;0.052;0.473;0
14;sumo wrestler 2;m;4;7;0.052;0.473;0
22;Frazier;m;4;4;0.026;0.473;0
23;agent MI-6;m;4;4;0.026;0.473;0
28;Cheew Mee;f;2;3;0.017;0.461;0
33;Hai Fat guard;m;2;2;0.009;0.461;0
35;fighter 2;m;2;2;0.009;0.461;0
18;man 2;m;3;5;0.034;0.457;0
20;Ahmed;m;3;4;0.026;0.457;0
21;man 1;m;3;4;0.026;0.457;0
29;Tanner;m;3;3;0.017;0.457;0
26;Saida;f;2;3;0.017;0.453;0
30;Moneypenny;f;2;3;0.017;0.453;0
39;fighter 1;m;1;1;0;0.449;0
40;ticket collector;m;1;1;0;0.449;0
45;Naval;m;1;1;0;0.449;0
46;desk klerk;m;1;1;0;0.449;0
47;taxi driver;m;1;1;0;0.449;0
48;taxi driver Hong Kong;m;1;1;0;0.449;0
49;valet 1;m;1;1;0;0.449;0
50;valet 2;f;1;1;0;0.449;0
51;waiter;m;1;1;0;0.449;0
52;woman;f;1;1;0;0.449;0
32;Hai Fat assiatant;m;2;2;0.009;0.381;0
27;killer;m;2;3;0.017;0.366;0
34;Kra;m;2;2;0.009;0.363;0
53;chinese military;m;1;1;0;0.358;0
36;barman;f;2;2;0.009;0.356;0
43;chineese policeman;m;1;1;0;0.353;0
42;Hai Fat people;n;1;1;0;0.346;0
37;HK policeman 1;m;1;2;0.009;0.338;0
44;wife;f;1;1;0;0.338;0
38;fighter;m;1;1;0;0.329;0
41;fighter1;m;1;1;0;0.329;0
54;tourist;f;1;1;0;0.315;0
